Wavelength [microns]  Transmission [unitless]
      3.58800            0.000443898
      3.59370            0.000406090
      3.60006            0.000908552
      3.60609             0.00176170
      3.61212             0.00165818
      3.61811             0.00160188
      3.62419             0.00172124
      3.63094             0.00181192
      3.63731             0.00187686
      3.64327             0.00182352
      3.64930             0.00130483
      3.65533             0.00104966
      3.66136             0.00104812
      3.66739            0.000936479
      3.67342            0.000618738
      3.67945            0.000315084
      3.68541            0.000730504
      3.69187            0.000948535
      3.69857            0.000921124
      3.70460            0.000803685
      3.71060            0.000682566
      3.71663            0.000629307
      3.72266            0.000777087
      3.72869            0.000996804
      3.73472             0.00116732
      3.74075             0.00103927
      3.74678             0.00106605
      3.75281             0.00110983
      3.75877            0.000806189
      3.76528            0.000707023
      3.77194            0.000688468
      3.77795            0.000440529
      3.78396            0.000480238
      3.78999            0.000583078
      3.79602            0.000305355
      3.80205            0.000423577
      3.80808            0.000585898
      3.81411            0.000174216
      3.82008            0.000250569
      3.82626            0.000489193
      3.83305            0.000394149
      3.83930            0.000311647
      3.84526            0.000243732
      3.85129            0.000173285
      3.85732            0.000393627
      3.86335            0.000658874
      3.86938            0.000666461
      3.87541            0.000885106
      3.88144             0.00118096
      3.88747             0.00139564
      3.89344             0.00218335
      3.89965             0.00319981
      3.90645             0.00409492
      3.91265             0.00589846
      3.91862             0.00834394
      3.92465              0.0112052
      3.93068              0.0152314
      3.93671              0.0204492
      3.94274              0.0269162
      3.94877              0.0354662
      3.95478              0.0468108
      3.96078              0.0616367
      3.96741              0.0820760
      3.97396               0.112042
      3.97993               0.154826
      3.98595               0.215563
      3.99198               0.295330
      3.99801               0.394399
      4.00404               0.500808
      4.01007               0.598712
      4.01610               0.676280
      4.02213               0.722361
      4.02814               0.743712
      4.03415               0.744876
      4.04082               0.739432
      4.04732               0.728181
      4.05328               0.712862
      4.05931               0.697721
      4.06534               0.682043
      4.07137               0.665946
      4.07740               0.651029
      4.08343               0.638619
      4.08946               0.629456
      4.09542               0.623193
      4.10176               0.621080
      4.10852               0.623466
      4.11462               0.628803
      4.12061               0.638207
      4.12664               0.651897
      4.13267               0.668942
      4.13870               0.688963
      4.14473               0.711962
      4.15076               0.740089
      4.15676               0.766415
      4.16281               0.789362
      4.16953               0.813055
      4.17595               0.834218
      4.18191               0.852502
      4.18794               0.870857
      4.19397               0.884728
      4.20000               0.894040
      4.20603               0.903465
      4.21206               0.910527
      4.21809               0.914714
      4.22412               0.915716
      4.23011               0.914918
      4.23619               0.912690
      4.24294               0.909480
      4.24931               0.902882
      4.25527               0.893664
      4.26130               0.885433
      4.26733               0.877708
      4.27336               0.871218
      4.27939               0.868101
      4.28542               0.865524
      4.29145               0.864946
      4.29741               0.871747
      4.30387               0.879118
      4.31057               0.886631
      4.31660               0.895610
      4.32260               0.904202
      4.32863               0.912431
      4.33466               0.921061
      4.34069               0.928036
      4.34672               0.933275
      4.35275               0.936906
      4.35878               0.940200
      4.36481               0.943734
      4.37077               0.948401
      4.37728               0.953053
      4.38394               0.957741
      4.38995               0.962599
      4.39596               0.968767
      4.40199               0.975399
      4.40802               0.981051
      4.41405               0.986448
      4.42008               0.991137
      4.42611               0.994357
      4.43208               0.997661
      4.43826                1.00000
      4.44505               0.999771
      4.45130               0.999487
      4.45726               0.999209
      4.46329               0.999045
      4.46932               0.996799
      4.47535               0.993828
      4.48138               0.991779
      4.48741               0.989118
      4.49343               0.984644
      4.49941               0.976960
      4.50600               0.970000
      4.51259               0.963609
      4.51857               0.957705
      4.52459               0.950992
      4.53062               0.944349
      4.53665               0.938563
      4.54268               0.934691
      4.54871               0.931081
      4.55474               0.926368
      4.56077               0.924573
      4.56678               0.922991
      4.57278               0.919623
      4.57941               0.917008
      4.58596               0.913565
      4.59193               0.908302
      4.59795               0.904731
      4.60398               0.900104
      4.61001               0.892742
      4.61604               0.884558
      4.62207               0.875679
      4.62810               0.866503
      4.63406               0.860239
      4.64035               0.857558
      4.64713               0.858735
      4.65327               0.859432
      4.65925               0.862226
      4.66528               0.867932
      4.67131               0.872027
      4.67734               0.876741
      4.68337               0.882747
      4.68940               0.887636
      4.69543               0.892710
      4.70146               0.898234
      4.70742               0.902683
      4.71376               0.904297
      4.72052               0.902796
      4.72662               0.902778
      4.73261               0.899835
      4.73864               0.893384
      4.74467               0.889961
      4.75070               0.885122
      4.75673               0.877932
      4.76276               0.870512
      4.76876               0.864177
      4.77481               0.858568
      4.78153               0.848483
      4.78795               0.840406
      4.79391               0.835473
      4.79994               0.830767
      4.80597               0.825587
      4.81200               0.820329
      4.81803               0.818240
      4.82406               0.815252
      4.83009               0.811618
      4.83605               0.812093
      4.84247               0.812302
      4.84919               0.811622
      4.85524               0.810871
      4.86124               0.810298
      4.86727               0.809849
      4.87330               0.809089
      4.87933               0.808520
      4.88536               0.808239
      4.89139               0.808234
      4.89742               0.808919
      4.90345               0.809744
      4.90941               0.809215
      4.91587               0.807677
      4.92257               0.804600
      4.92860               0.799231
      4.93460               0.787854
      4.94063               0.771641
      4.94666               0.754176
      4.95269               0.733737
      4.95872               0.712174
      4.96475               0.692761
      4.97073               0.678994
      4.97687               0.672294
      4.98365               0.674773
      4.98994               0.685321
      4.99590               0.694009
      5.00193               0.687623
      5.00796               0.635758
      5.01399               0.540446
      5.02002               0.403865
      5.02605               0.274478
      5.03208               0.166518
      5.03811              0.0974023
      5.04408              0.0548075
      5.05026              0.0315691
      5.05705              0.0191002
      5.06330              0.0114788
      5.06926             0.00716893
      5.07529             0.00455383
      5.08132             0.00285889
      5.08735             0.00183896
      5.09338             0.00123682
      5.09941            0.000763106
      5.10543            0.000531291
      5.11141            0.000676787
      5.11800            0.000643873
      5.12459            0.000522977
      5.13057            0.000395100
      5.13659            0.000304333
      5.14262            0.000239259
      5.14865            0.000190853
      5.15468            0.000138869
      5.16071            0.000117515
      5.16674            0.000155195
      5.17270            0.000180345
      5.17895            0.000184043
      5.18574            0.000157245
      5.19192            0.000142717
      5.19789            0.000141583
      5.20392            0.000156087
      5.20995            0.000172979
      5.21598            0.000185864
      5.22201            0.000190675
      5.22804            0.000216374
      5.23407            0.000224925
      5.24010            0.000193836
      5.24606            0.000134495
      5.25235            7.99336e-05
      5.25913            4.89599e-05
      5.26527            1.53723e-05
      5.27125                0.00000
      5.27728                0.00000
      5.28331                0.00000
      5.28934                0.00000
      5.29537                0.00000
      5.30140                0.00000
      5.30740                0.00000
      5.31343                0.00000
      5.32013                0.00000
      5.32659                0.00000
      5.33255                0.00000
      5.33858                0.00000
      5.34461                0.00000
      5.35064                0.00000
      5.35667                0.00000
      5.36270                0.00000
      5.36873                0.00000
      5.37476                0.00000
      5.38076                0.00000
      5.38681                0.00000
      5.39353                0.00000
      5.39995                0.00000
      5.40591                0.00000
      5.41261                0.00000
      5.41500                0.00000
