Wavelength [microns]  Transmission [unitless]
      49.9600                0.00000
      50.0215                0.00000
      50.1075            9.93365e-06
      50.2087            0.000218963
      50.3162            0.000461520
      50.4206            0.000733138
      50.5157             0.00102993
      50.6095             0.00135333
      50.7036             0.00170658
      50.7982             0.00209276
      50.8930             0.00251495
      50.9883             0.00297616
      51.0838             0.00346997
      51.1798             0.00399527
      51.2761             0.00455866
      51.3727             0.00516675
      51.4698             0.00582616
      51.5672             0.00653028
      51.6649             0.00724945
      51.7631             0.00801106
      51.8616             0.00884738
      51.9605             0.00979070
      52.0597              0.0108734
      52.1594              0.0121138
      52.2594              0.0134845
      52.3598              0.0149490
      52.4606              0.0164707
      52.5618              0.0180132
      52.6634              0.0195404
      52.7653              0.0210583
      52.8677              0.0226127
      52.9705              0.0242503
      53.0736              0.0260177
      53.1772              0.0279537
      53.2812              0.0299635
      53.3856              0.0320599
      53.4903              0.0343144
      53.5955              0.0367982
      53.7012              0.0395824
      53.8072              0.0426723
      53.9137              0.0459888
      54.0205              0.0495605
      54.1278              0.0534190
      54.2355              0.0575958
      54.3437              0.0621175
      54.4523              0.0669521
      54.5613              0.0720949
      54.6708              0.0775557
      54.7807              0.0833438
      54.8910              0.0894689
      55.0018              0.0962255
      55.1131               0.103735
      55.2247               0.111531
      55.3369               0.119147
      55.4495               0.126112
      55.5625               0.132029
      55.6761               0.137149
      55.7900               0.141692
      55.9045               0.145809
      56.0194               0.149650
      56.1348               0.153363
      56.2507               0.156448
      56.3670               0.158743
      56.4839               0.160908
      56.6012               0.163606
      56.7190               0.167498
      56.8373               0.173159
      56.9561               0.180376
      57.0754               0.188670
      57.1952               0.197586
      57.3155               0.206666
      57.4363               0.215462
      57.5576               0.224424
      57.6794               0.233790
      57.8018               0.243175
      57.9246               0.252191
      58.0480               0.260453
      58.1719               0.267565
      58.2964               0.273514
      58.4213               0.278792
      58.5469               0.283909
      58.6729               0.289379
      58.7995               0.295687
      58.9267               0.302214
      59.0544               0.308822
      59.1826               0.315938
      59.3114               0.323989
      59.4408               0.333400
      59.5707               0.344595
      59.7012               0.357510
      59.8323               0.371602
      59.9640               0.386320
      60.0962               0.401112
      60.2290               0.415481
      60.3625               0.430010
      60.4965               0.444808
      60.6310               0.459609
      60.7662               0.474145
      60.9021               0.488152
      61.0385               0.501315
      61.1755               0.513674
