Wavelength [microns]  Transmission [unitless]
      5.61200            0.000823465
      5.62728            0.000494307
      5.64386            0.000310616
      5.65924            0.000330068
      5.67536            0.000379873
      5.69112            0.000375002
      5.70646            0.000345804
      5.72180            0.000517321
      5.73761            0.000543527
      5.75370            0.000413571
      5.76906            0.000263853
      5.78485            0.000288903
      5.80094            0.000442399
      5.81629            0.000486224
      5.83209            0.000468064
      5.84817            0.000470934
      5.86352            0.000755846
      5.87933            0.000780887
      5.89541            0.000612485
      5.91082            0.000560843
      5.92615            0.000701443
      5.94165            0.000902236
      5.95781            0.000859570
      5.97345            0.000512710
      5.98889            0.000165957
      6.00505            0.000471990
      6.02068             0.00100517
      6.03613             0.00136406
      6.05229            0.000763887
      6.06796            0.000616346
      6.08330            0.000838069
      6.09864             0.00116915
      6.11455             0.00102965
      6.13057            0.000676253
      6.14589            0.000572581
      6.16179            0.000572868
      6.17780            0.000653691
      6.19312            0.000806534
      6.20903            0.000704623
      6.22503            0.000575059
      6.24035            0.000748624
      6.25627            0.000952364
      6.27227             0.00122986
      6.28764             0.00164888
      6.30298             0.00186816
      6.31856             0.00253869
      6.33473             0.00410395
      6.35027              0.0117140
      6.36579              0.0361655
      6.38197              0.0891997
      6.39750               0.167190
      6.41303               0.259954
      6.42921               0.357339
      6.44473               0.462289
      6.46027               0.545117
      6.47644               0.577909
      6.49202               0.611178
      6.50736               0.645982
      6.52273               0.684680
      6.53873               0.713242
      6.55465               0.730773
      6.56997               0.736269
      6.58597               0.743219
      6.60188               0.747183
      6.61720               0.745557
      6.63321               0.742209
      6.64913               0.738244
      6.66447               0.733952
      6.67981               0.711787
      6.69547               0.696318
      6.71164               0.702525
      6.72709               0.730114
      6.74271               0.752954
      6.75887               0.756817
      6.77432               0.761646
      6.78995               0.770743
      6.80611               0.785928
      6.82155               0.797150
      6.83719               0.803602
      6.85335               0.804861
      6.86885               0.805697
      6.88418               0.806245
      6.89959               0.806351
      6.91567               0.801610
      6.93148               0.796372
      6.94683               0.793378
      6.96291               0.801426
      6.97871               0.806542
      6.99406               0.802971
      7.01015               0.785552
      7.02594               0.772620
      7.04130               0.770497
      7.05739               0.779450
      7.07320               0.782935
      7.08854               0.777493
      7.10388               0.772600
      7.11964               0.776171
      7.13577               0.788236
      7.15114               0.798309
      7.16688               0.795632
      7.18300               0.781590
      7.19837               0.774301
      7.21412               0.777029
      7.23024               0.789760
      7.24567               0.808861
      7.26101               0.822181
      7.27647               0.826754
      7.29260               0.821883
      7.30831               0.815410
      7.32371               0.810251
      7.33984               0.809708
      7.35554               0.814754
      7.37094               0.823987
      7.38708               0.833452
      7.40277               0.840291
      7.41818               0.842506
      7.43432               0.836202
      7.45004               0.825233
      7.46538               0.814579
      7.48072               0.813176
      7.49658               0.829111
      7.51264               0.856432
      7.52797               0.881112
      7.54382               0.896775
      7.55987               0.905101
      7.57520               0.910847
      7.59106               0.918347
      7.60710               0.924258
      7.62243               0.921581
      7.63830               0.911551
      7.65434               0.900084
      7.66973               0.896460
      7.68507               0.905548
      7.70060               0.920685
      7.71677               0.931681
      7.73236               0.930930
      7.74784               0.922944
      7.76401               0.914319
      7.77959               0.911515
      7.79508               0.913449
      7.81125               0.918695
      7.82688               0.920426
      7.84221               0.922028
      7.85757               0.927785
      7.87352               0.940113
      7.88949               0.954119
