Wavelength [microns]  Transmission [unitless]
     0.360000                0.00000
     0.360765            0.000710209
     0.361855             0.00162836
     0.363109             0.00291403
     0.364368             0.00472682
     0.365500             0.00722579
     0.366600              0.0104431
     0.367700              0.0142040
     0.368800              0.0183169
     0.369900              0.0225904
     0.371000              0.0264333
     0.372100              0.0298660
     0.373200              0.0339680
     0.374300              0.0398245
     0.375400              0.0482620
     0.376500              0.0576434
     0.377600              0.0686787
     0.378700              0.0828999
     0.379800               0.101839
     0.380900               0.126071
     0.382000               0.154483
     0.383100               0.187131
     0.384200               0.224112
     0.385300               0.265629
     0.386400               0.313218
     0.387500               0.365686
     0.388600               0.420861
     0.389700               0.476575
     0.390800               0.533308
     0.391900               0.594546
     0.393000               0.655812
     0.394100               0.712223
     0.395200               0.758989
     0.396300               0.796357
     0.397400               0.826922
     0.398500               0.852088
     0.399600               0.873260
     0.400700               0.890703
     0.401800               0.902173
     0.402900               0.909735
     0.404000               0.915845
     0.405100               0.922944
     0.406200               0.930792
     0.407300               0.938155
     0.408400               0.945035
     0.409500               0.951432
     0.410600               0.957338
     0.411700               0.962736
     0.412800               0.967651
     0.413900               0.972115
     0.415000               0.976161
     0.416100               0.979677
     0.417200               0.982659
     0.418300               0.985298
     0.419400               0.987787
     0.420500               0.990315
     0.421600               0.992916
     0.422700               0.995386
     0.423800               0.997501
     0.424900               0.999038
     0.426000               0.999828
     0.427100                1.00000
     0.428200               0.999776
     0.429300               0.999380
     0.430400               0.999032
     0.431500               0.998777
     0.432600               0.998410
     0.433700               0.997709
     0.434800               0.996450
     0.435900               0.994583
     0.437000               0.992291
     0.438100               0.989486
     0.439200               0.986073
     0.440300               0.981967
     0.441400               0.977275
     0.442500               0.971977
     0.443600               0.965978
     0.444700               0.959181
     0.445800               0.951397
     0.446900               0.942532
     0.448000               0.932982
     0.449100               0.923160
     0.450200               0.913475
     0.451300               0.903886
     0.452400               0.894185
     0.453500               0.884275
     0.454600               0.874060
     0.455700               0.863378
     0.456800               0.852101
     0.457900               0.840580
     0.459000               0.829199
     0.460100               0.818340
     0.461200               0.808242
     0.462300               0.798611
     0.463400               0.789030
     0.464500               0.779087
     0.465600               0.768418
     0.466700               0.757149
     0.467800               0.745549
