Wavelength [microns]  Transmission [unitless]
     0.360000                0.00000
     0.360765            0.000578688
     0.361855             0.00125030
     0.363109             0.00239818
     0.364368             0.00440563
     0.365500             0.00764400
     0.366600              0.0121394
     0.367700              0.0175292
     0.368800              0.0234301
     0.369900              0.0294588
     0.371000              0.0349120
     0.372100              0.0399253
     0.373200              0.0457071
     0.374300              0.0534715
     0.375400              0.0641536
     0.376500              0.0760050
     0.377600              0.0897440
     0.378700               0.106968
     0.379800               0.129274
     0.380900               0.157263
     0.382000               0.189776
     0.383100               0.226868
     0.384200               0.268634
     0.385300               0.315313
     0.386400               0.368906
     0.387500               0.427875
     0.388600               0.489409
     0.389700               0.550697
     0.390800               0.612009
     0.391900               0.677446
     0.393000               0.742200
     0.394100               0.801001
     0.395200               0.848668
     0.396300               0.885136
     0.397400               0.913395
     0.398500               0.935423
     0.399600               0.953202
     0.400700               0.967319
     0.401800               0.975027
     0.402900               0.978506
     0.404000               0.980408
     0.405100               0.983367
     0.406200               0.987079
     0.407300               0.990232
     0.408400               0.992889
     0.409500               0.995114
     0.410600               0.996949
     0.411700               0.998332
     0.412800               0.999280
     0.413900               0.999825
     0.415000                1.00000
     0.416100               0.999750
     0.417200               0.999063
     0.418300               0.998035
     0.419400               0.996763
     0.420500               0.995320
     0.421600               0.993629
     0.422700               0.991694
     0.423800               0.989547
     0.424900               0.987219
     0.426000               0.984720
     0.427100               0.982027
     0.428200               0.979141
     0.429300               0.976061
     0.430400               0.972802
     0.431500               0.969477
     0.432600               0.965984
     0.433700               0.962161
     0.434800               0.957849
     0.435900               0.952971
     0.437000               0.947632
     0.438100               0.941867
     0.439200               0.935708
     0.440300               0.929196
     0.441400               0.922456
     0.442500               0.915375
     0.443600               0.907762
     0.444700               0.899425
     0.445800               0.890121
     0.446900               0.879827
     0.448000               0.868944
     0.449100               0.857886
     0.450200               0.847061
     0.451300               0.836406
     0.452400               0.825725
     0.453500               0.814952
     0.454600               0.804025
     0.455700               0.792858
     0.456800               0.781418
     0.457900               0.769852
     0.459000               0.758320
     0.460100               0.746981
     0.461200               0.735861
     0.462300               0.724866
     0.463400               0.713930
     0.464500               0.702991
     0.465600               0.692006
     0.466700               0.681038
     0.467800               0.670069
     0.468900               0.659067
     0.470000               0.648000
     0.471100               0.636866
     0.472200               0.625683
     0.473300               0.614452
     0.474400               0.603173
     0.475500               0.591823
     0.476600               0.580295
     0.477700               0.568709
     0.478800               0.557225
     0.479900               0.546002
     0.481000               0.535176
     0.482100               0.524660
