Wavelength [microns]  Transmission [unitless]
      1.44000                0.00000
      1.44097                0.00000
      1.44218                0.00000
      1.44359                0.00000
      1.44519                0.00000
      1.44692                0.00000
      1.44875                0.00000
      1.45065                0.00000
      1.45259                0.00000
      1.45453                0.00000
      1.45644                0.00000
      1.45827                0.00000
      1.46000                0.00000
      1.46167             0.00685088
      1.46333              0.0148033
      1.46500              0.0238396
      1.46667              0.0339426
      1.46833              0.0450945
      1.47000              0.0572781
      1.47167              0.0704757
      1.47333              0.0846699
      1.47500              0.0998432
      1.47667               0.115978
      1.47833               0.133057
      1.48000               0.151063
      1.48167               0.170048
      1.48333               0.190064
      1.48500               0.211095
      1.48667               0.233122
      1.48833               0.256128
      1.49000               0.280096
      1.49167               0.305008
      1.49333               0.330847
      1.49500               0.357595
      1.49667               0.385234
      1.49833               0.413748
      1.50000               0.443118
      1.50167               0.474872
      1.50333               0.510001
      1.50500               0.547682
      1.50667               0.587094
      1.50833               0.627416
      1.51000               0.667825
      1.51167               0.707499
      1.51333               0.745617
      1.51500               0.781358
      1.51667               0.813899
      1.51833               0.842418
      1.52000               0.866095
      1.52167               0.884925
      1.52333               0.899804
      1.52500               0.911256
      1.52667               0.919806
      1.52833               0.925978
      1.53000               0.930297
      1.53167               0.933286
      1.53333               0.935472
      1.53500               0.937378
      1.53667               0.939528
      1.53833               0.942448
      1.54000               0.946662
      1.54167               0.951653
      1.54333               0.956523
      1.54500               0.961217
      1.54667               0.965684
      1.54833               0.969872
      1.55000               0.973727
      1.55167               0.977198
      1.55333               0.980231
      1.55500               0.982775
      1.55667               0.984777
      1.55833               0.986185
      1.56000               0.986945
      1.56167               0.986671
      1.56333               0.985173
      1.56500               0.982697
      1.56667               0.979485
      1.56833               0.975784
      1.57000               0.971839
      1.57167               0.967893
      1.57333               0.964192
      1.57500               0.960981
      1.57667               0.958504
      1.57833               0.957006
      1.58000               0.956733
      1.58167               0.957750
      1.58333               0.959833
      1.58500               0.962791
      1.58667               0.966430
      1.58833               0.970560
      1.59000               0.974986
      1.59167               0.979517
      1.59333               0.983961
      1.59500               0.988125
      1.59667               0.991817
      1.59833               0.994845
      1.60000               0.997016
      1.60167               0.998426
      1.60333               0.999347
      1.60500               0.999848
      1.60667                1.00000
      1.60833               0.999872
      1.61000               0.999534
      1.61167               0.999056
      1.61333               0.998508
      1.61500               0.997960
      1.61667               0.997482
      1.61833               0.997144
      1.62000               0.997016
      1.62167               0.997016
      1.62333               0.997016
      1.62500               0.997016
      1.62667               0.997016
      1.62833               0.997016
      1.63000               0.997016
      1.63167               0.997016
      1.63333               0.997016
      1.63500               0.997016
      1.63667               0.997016
      1.63833               0.997016
      1.64000               0.997016
      1.64167               0.997016
      1.64333               0.997016
      1.64500               0.997016
      1.64667               0.997016
      1.64833               0.997016
      1.65000               0.997016
      1.65167               0.997016
