Wavelength [microns]  Transmission [unitless]
      1.28900                0.00000
      1.29239            7.56998e-09
      1.29716            1.81367e-08
      1.30275            3.06097e-08
      1.30859            4.38989e-08
      1.31412            5.69137e-08
      1.31915            7.14979e-08
      1.32415            9.02193e-08
      1.32915            1.08812e-07
      1.33417            1.22865e-07
      1.33924            1.27970e-07
      1.34436            1.19302e-07
      1.34950            9.62477e-08
      1.35467            6.54362e-08
      1.35990            3.38383e-08
      1.36521            8.42398e-09
      1.37066                0.00000
      1.37640                0.00000
      1.38227                0.00000
      1.38805                0.00000
      1.39352                0.00000
      1.39847                0.00000
      1.40286                0.00000
      1.40687                0.00000
      1.41070                0.00000
      1.41453                0.00000
      1.41857            2.36007e-05
      1.42277            6.05133e-05
      1.42702            9.89303e-05
      1.43130            0.000166633
      1.43558            0.000291401
      1.43985            0.000501017
      1.44419            0.000778284
      1.44863             0.00109984
      1.45303             0.00149392
      1.45728             0.00198878
      1.46123             0.00261272
      1.46486             0.00325456
      1.46830             0.00377510
      1.47152             0.00442837
      1.47446             0.00547959
      1.47709             0.00719398
      1.47934             0.00959640
      1.48113              0.0121306
      1.48261              0.0151863
      1.48393              0.0192484
      1.48523              0.0248018
      1.48663              0.0321775
      1.48792              0.0406859
      1.48914              0.0504932
      1.49041              0.0619937
      1.49182              0.0755816
      1.49349              0.0915348
      1.49543               0.108388
      1.49756               0.126684
      1.49980               0.147861
      1.50204               0.173355
      1.50422               0.204613
      1.50631               0.243197
      1.50838               0.287835
      1.51046               0.336129
      1.51260               0.385678
      1.51484               0.434084
      1.51725               0.482760
      1.51979               0.534039
      1.52240               0.585174
      1.52497               0.633395
      1.52743               0.675935
      1.52976               0.711152
      1.53204               0.740928
      1.53425               0.766395
      1.53634               0.788608
      1.53826               0.808622
      1.53998               0.826954
      1.54151               0.842193
      1.54288               0.854807
      1.54413               0.865518
      1.54532               0.875052
      1.54647               0.883959
      1.54751               0.891365
      1.54847               0.897362
      1.54938               0.902372
      1.55028               0.906820
      1.55123               0.911103
      1.55211               0.914976
      1.55295               0.918278
      1.55384               0.921055
      1.55486               0.923351
      1.55609               0.925215
      1.55763               0.927411
      1.55941               0.929793
      1.56129               0.931358
      1.56314               0.931103
      1.56484               0.928027
      1.56636               0.920710
      1.56780               0.909426
      1.56917               0.896312
      1.57046               0.883520
      1.57168               0.873200
      1.57280               0.866379
      1.57378               0.861166
      1.57469               0.857461
      1.57558               0.855300
      1.57654               0.854717
      1.57758               0.855904
      1.57863               0.859357
      1.57971               0.864500
      1.58086               0.870631
      1.58213               0.877048
      1.58358               0.883231
      1.58529               0.890336
      1.58717               0.898072
      1.58906               0.905647
      1.59081               0.912271
      1.59227               0.917184
      1.59344               0.920742
      1.59441               0.923301
      1.59528               0.924847
      1.59612               0.925366
      1.59703               0.924842
      1.59790               0.922241
      1.59869               0.917639
      1.59951               0.912442
      1.60050               0.908060
      1.60179               0.905900
      1.60354               0.907026
      1.60573               0.910692
      1.60810               0.915572
      1.61042               0.920339
      1.61246               0.923667
      1.61403               0.924593
      1.61522               0.923848
      1.61622               0.922189
      1.61721               0.920330
      1.61834               0.918985
      1.61980               0.918751
      1.62154               0.919278
      1.62343               0.920208
      1.62531               0.921248
      1.62703               0.922106
      1.62844               0.922471
      1.62948               0.922093
      1.63031               0.921361
      1.63110               0.920779
      1.63202               0.920851
      1.63324               0.922083
      1.63483               0.924830
      1.63665               0.928639
      1.63855               0.932865
      1.64039               0.936861
      1.64200               0.939984
      1.64330               0.941722
      1.64440               0.942504
      1.64542               0.943088
      1.64650               0.944234
      1.64775               0.946701
      1.64935               0.951185
      1.65124               0.957393
      1.65323               0.964407
      1.65508               0.971305
      1.65660               0.977166
      1.65752               0.981370
      1.65781               0.984558
      1.65781               0.987040
      1.65789               0.989068
      1.65843               0.990893
      1.65973               0.992882
      1.66168               0.995596
      1.66405               0.998281
      1.66665                1.00000
      1.66927               0.999813
      1.67175               0.996760
      1.67413               0.990223
      1.67652               0.981256
      1.67898               0.971205
      1.68159               0.961417
      1.68440               0.953188
      1.68753               0.944711
      1.69089               0.935694
      1.69434               0.927823
      1.69773               0.922784
      1.70090               0.922262
      1.70383               0.928296
      1.70663               0.939957
      1.70932               0.954250
      1.71193               0.968178
      1.71448               0.978747
      1.71695               0.984473
      1.71931               0.987584
      1.72159               0.988938
      1.72385               0.989318
      1.72613               0.989506
      1.72847               0.989957
      1.73093               0.989915
      1.73340               0.989399
      1.73577               0.988533
      1.73793               0.987442
      1.73979               0.986209
      1.74138               0.984650
      1.74276               0.982813
      1.74400               0.980811
      1.74517               0.978753
      1.74632               0.976770
      1.74744               0.975152
      1.74850               0.973660
      1.74947               0.971891
      1.75034               0.969439
      1.75107               0.965898
      1.75161               0.960792
      1.75198               0.954487
      1.75227               0.947703
      1.75257               0.941159
      1.75297               0.935576
      1.75341               0.931990
      1.75383               0.930122
      1.75430               0.928420
      1.75491               0.925333
      1.75575               0.919307
      1.75688               0.910034
      1.75824               0.899283
      1.75978               0.886313
      1.76146               0.870263
      1.76324               0.850276
      1.76512               0.826479
      1.76718               0.801522
      1.76938               0.773264
      1.77160               0.739019
      1.77378               0.696101
      1.77585               0.639894
      1.77794               0.557653
      1.78002               0.461719
      1.78201               0.369459
      1.78381               0.298235
      1.78534               0.265576
      1.78652               0.282483
      1.78746               0.331897
      1.78828               0.391300
      1.78911               0.438170
      1.79007               0.450024
      1.79116               0.419610
      1.79228               0.362450
      1.79344               0.293129
      1.79464               0.226229
      1.79587               0.176337
      1.79715               0.148472
      1.79849               0.131967
      1.79987               0.122726
      1.80125               0.116750
      1.80263               0.110036
      1.80401               0.101123
      1.80548              0.0941643
      1.80695              0.0882614
      1.80833              0.0821839
      1.80954              0.0747014
      1.81048              0.0643873
      1.81113              0.0504915
      1.81161              0.0351233
      1.81205              0.0206417
      1.81257             0.00940531
      1.81329             0.00374477
      1.81406             0.00419362
      1.81488             0.00850105
      1.81582              0.0141811
      1.81694              0.0187478
      1.81831              0.0197695
      1.82005              0.0173301
      1.82207              0.0130057
      1.82420             0.00795677
      1.82625             0.00334353
      1.82806            0.000325609
      1.82946                0.00000
      1.83060                0.00000
      1.83169                0.00000
      1.83298                0.00000
      1.83471                0.00000
      1.83697                0.00000
      1.83956                0.00000
      1.84245            1.68313e-05
      1.84558            4.22496e-05
      1.84893            5.82237e-05
      1.85249            5.66067e-05
      1.85638            4.54086e-05
      1.86050            2.96766e-05
      1.86473            1.38969e-05
      1.86898            2.55680e-06
      1.87316                0.00000
      1.87741            4.20681e-06
      1.88170            1.27635e-05
      1.88600            2.20856e-05
      1.89025            2.89060e-05
      1.89447            3.01256e-05
      1.89906            2.61071e-05
      1.90377            1.90611e-05
      1.90817            1.09680e-05
      1.91184            3.80800e-06
      1.91400                0.00000
      1.91400                0.00000
      1.91400                0.00000
      1.91400                0.00000
      1.91400                0.00000
