Wavelength [microns]  Transmission [unitless]
     0.680000                0.00000
     0.681010                0.00000
     0.682282                0.00000
     0.683776                0.00000
     0.685454                0.00000
     0.687275                0.00000
     0.689202                0.00000
     0.691195                0.00000
     0.693215                0.00000
     0.695222                0.00000
     0.697179             0.00107830
     0.699046             0.00634066
     0.700800              0.0136093
     0.702533              0.0228059
     0.704267              0.0336877
     0.706000              0.0460203
     0.707733              0.0595694
     0.709467              0.0741008
     0.711200              0.0893801
     0.712933               0.105173
     0.714667               0.121245
     0.716400               0.137363
     0.718133               0.153291
     0.719867               0.168796
     0.721600               0.184116
     0.723333               0.199773
     0.725067               0.215730
     0.726800               0.231948
     0.728533               0.248389
     0.730267               0.265012
     0.732000               0.281780
     0.733733               0.298654
     0.735467               0.315593
     0.737200               0.332559
     0.738933               0.349514
     0.740667               0.366434
     0.742400               0.383454
     0.744133               0.400598
     0.745867               0.417846
     0.747600               0.435178
     0.749333               0.452574
     0.751067               0.470015
     0.752800               0.487482
     0.754533               0.504955
     0.756267               0.522415
     0.758000               0.539841
     0.759733               0.557215
     0.761467               0.574545
     0.763200               0.591875
     0.764933               0.609205
     0.766667               0.626534
     0.768400               0.643864
     0.770133               0.661194
     0.771867               0.678523
     0.773600               0.695853
     0.775333               0.713183
     0.777067               0.730512
     0.778800               0.747842
     0.780533               0.765234
     0.782267               0.783526
     0.784000               0.802710
     0.785733               0.822435
     0.787467               0.842350
     0.789200               0.862102
     0.790933               0.881340
     0.792667               0.899713
     0.794400               0.916870
     0.796133               0.932459
     0.797867               0.946128
     0.799600               0.957527
     0.801333               0.966377
     0.803067               0.972853
     0.804800               0.977289
     0.806533               0.980015
     0.808267               0.981364
     0.810000               0.981668
     0.811733               0.981258
     0.813467               0.980467
     0.815200               0.979626
     0.816933               0.979068
     0.818667               0.979124
     0.820400               0.980089
     0.822133               0.981285
     0.823867               0.982355
     0.825600               0.983318
     0.827333               0.984194
     0.829067               0.985003
     0.830800               0.985763
     0.832533               0.986495
     0.834267               0.987218
     0.836000               0.987951
     0.837733               0.988715
     0.839467               0.989528
     0.841200               0.990442
     0.842933               0.991533
     0.844667               0.992750
     0.846400               0.994034
     0.848133               0.995328
     0.849867               0.996572
     0.851600               0.997709
     0.853333               0.998678
     0.855067               0.999422
     0.856800               0.999882
     0.858533                1.00000
     0.860267               0.999720
     0.862000               0.999139
     0.863733               0.998333
     0.865467               0.997302
     0.867200               0.996046
     0.868933               0.994564
     0.870667               0.992857
     0.872400               0.990925
     0.874133               0.988767
     0.875867               0.986384
     0.877600               0.983776
     0.879333               0.980943
     0.881067               0.977898
     0.882800               0.974684
     0.884533               0.971290
     0.886267               0.967693
     0.888000               0.963876
     0.889733               0.959819
     0.891467               0.955502
     0.893200               0.950906
     0.894933               0.946010
     0.896667               0.940797
     0.898400               0.935245
     0.900133               0.929336
     0.901867               0.923097
     0.903600               0.916558
     0.905333               0.909719
     0.907067               0.902579
     0.908800               0.895139
     0.910533               0.887398
     0.912267               0.879357
     0.914000               0.871016
     0.915733               0.862374
     0.917467               0.853432
     0.919200               0.844190
     0.920933               0.834605
     0.922667               0.824495
     0.924400               0.813905
     0.926133               0.802912
     0.927867               0.791595
     0.929600               0.780031
     0.931333               0.768299
     0.933067               0.756477
     0.934800               0.744643
     0.936533               0.732875
     0.938267               0.721252
     0.940000               0.709850
     0.941733               0.698517
     0.943467               0.687073
     0.945200               0.675557
     0.946933               0.664008
     0.948667               0.652465
     0.950400               0.640967
     0.952133               0.629553
     0.953867               0.618262
     0.955600               0.607133
     0.957333               0.596206
     0.959067               0.585519
     0.960800               0.575110
     0.962533               0.564981
     0.964267               0.555096
     0.966000               0.545415
     0.967733               0.535899
     0.969467               0.526509
     0.971200               0.517207
     0.972933               0.507952
     0.974667               0.498706
     0.976400               0.489431
     0.978133               0.480086
     0.979867               0.470634
     0.981600               0.461014
     0.983333               0.451224
     0.985067               0.441321
     0.986800               0.431364
     0.988533               0.421412
     0.990267               0.411523
     0.992000               0.401755
     0.993733               0.392168
     0.995467               0.382819
     0.997200               0.373768
     0.998933               0.365073
      1.00067               0.356791
      1.00240               0.348932
      1.00413               0.341443
      1.00587               0.334266
      1.00760               0.327340
      1.00933               0.320608
      1.01107               0.314011
      1.01280               0.307491
      1.01453               0.300989
      1.01627               0.294446
      1.01800               0.287804
      1.01973               0.281005
      1.02147               0.274001
      1.02320               0.266821
      1.02493               0.259524
      1.02667               0.252169
      1.02840               0.244814
      1.03013               0.237517
      1.03187               0.230337
      1.03360               0.223333
      1.03533               0.216564
      1.03707               0.210087
      1.03880               0.203962
      1.04053               0.198246
      1.04227               0.192956
      1.04400               0.188040
      1.04573               0.183440
      1.04747               0.179096
      1.04920               0.174951
      1.05093               0.170945
      1.05267               0.167021
      1.05440               0.163119
      1.05613               0.159181
      1.05787               0.155148
      1.05960               0.150962
      1.06133               0.146574
      1.06307               0.142005
      1.06480               0.137314
      1.06653               0.132561
      1.06827               0.127803
      1.07000               0.123099
      1.07173               0.118508
      1.07347               0.114088
      1.07520               0.109897
      1.07693               0.105996
      1.07867               0.102441
      1.08040              0.0992929
      1.08213              0.0966202
      1.08387              0.0943771
      1.08560              0.0924854
      1.08733              0.0908671
      1.08907              0.0894440
      1.09080              0.0881381
      1.09253              0.0868712
      1.09427              0.0855653
      1.09600              0.0841422
      1.09773              0.0825239
      1.09947              0.0806322
      1.10120              0.0784316
      1.10293              0.0760262
      1.10467              0.0734615
      1.10640              0.0707767
      1.10813              0.0680109
      1.10987              0.0652029
      1.11160              0.0623919
      1.11333              0.0596171
      1.11507              0.0569172
      1.11680              0.0543316
      1.11853              0.0518991
      1.12027              0.0496571
      1.12200              0.0475399
      1.12373              0.0454980
      1.12547              0.0435310
      1.12720              0.0416392
      1.12893              0.0398225
      1.13067              0.0380809
      1.13240              0.0364143
      1.13413              0.0348229
      1.13587              0.0333065
      1.13760              0.0318653
      1.13933              0.0304991
      1.14104              0.0292350
      1.14263              0.0281606
      1.14414              0.0272484
      1.14559              0.0264595
      1.14704              0.0257546
      1.14852              0.0250947
      1.15006              0.0244409
      1.15172              0.0237540
      1.15352              0.0229951
      1.15551              0.0221250
      1.15772              0.0211047
      1.16020              0.0198949
      1.16312              0.0184341
      1.16652              0.0167359
      1.17028              0.0148591
      1.17427              0.0128621
      1.17839              0.0108035
      1.18251             0.00874188
      1.18653             0.00673587
      1.19031             0.00484400
      1.19375             0.00312481
      1.19673             0.00163695
      1.19912            0.000438957
      1.20000                0.00000
      1.20000                0.00000
      1.20000                0.00000
      1.20000                0.00000
      1.20000                0.00000
      1.20000                0.00000
      1.20000                0.00000
      1.20000                0.00000
      1.20000                0.00000
      1.20000                0.00000
      1.20000                0.00000
