Wavelength [microns]  Transmission [unitless]
     0.687500                0.00000
     0.687916             0.00134959
     0.688475             0.00318968
     0.689140             0.00538136
     0.689876             0.00778573
     0.690648              0.0102639
     0.691420              0.0126770
     0.692156              0.0148860
     0.692833              0.0167680
     0.693500              0.0183708
     0.694167              0.0198043
     0.694833              0.0211727
     0.695500              0.0225802
     0.696167              0.0241309
     0.696833              0.0259290
     0.697500              0.0280788
     0.698167              0.0302357
     0.698833              0.0321713
     0.699500              0.0341633
     0.700167              0.0364896
     0.700833              0.0394278
     0.701500              0.0432560
     0.702167              0.0482517
     0.702833              0.0543851
     0.703500              0.0602595
     0.704167              0.0662858
     0.704833              0.0732019
     0.705500              0.0817458
     0.706167              0.0926554
     0.706833               0.106669
     0.707500               0.124523
     0.708167               0.147567
     0.708833               0.175638
     0.709500               0.207207
     0.710167               0.240746
     0.710833               0.274729
     0.711500               0.307626
     0.712167               0.337910
     0.712833               0.364456
     0.713500               0.388864
     0.714167               0.411822
     0.714833               0.433695
     0.715500               0.454847
     0.716167               0.475643
     0.716833               0.496448
     0.717500               0.517626
     0.718167               0.539279
     0.718833               0.561111
     0.719500               0.582886
     0.720167               0.604370
     0.720833               0.625329
     0.721500               0.645528
     0.722167               0.664734
     0.722833               0.682794
     0.723500               0.700055
     0.724167               0.716574
     0.724833               0.732333
     0.725500               0.747315
     0.726167               0.761503
     0.726833               0.774879
     0.727500               0.787426
     0.728167               0.799057
     0.728833               0.809755
     0.729500               0.819607
     0.730167               0.828699
     0.730833               0.837118
     0.731500               0.844951
     0.732167               0.852285
     0.732833               0.859117
     0.733500               0.865041
     0.734167               0.870170
     0.734833               0.874714
     0.735500               0.878880
     0.736167               0.882877
     0.736833               0.886912
     0.737500               0.891196
     0.738167               0.895696
     0.738833               0.900209
     0.739500               0.904683
     0.740167               0.909066
     0.740833               0.913306
     0.741500               0.917350
     0.742167               0.921147
     0.742833               0.924657
     0.743500               0.927927
     0.744167               0.930985
     0.744833               0.933847
     0.745500               0.936532
     0.746167               0.939055
     0.746833               0.941436
     0.747500               0.943691
     0.748167               0.945746
     0.748833               0.947559
     0.749500               0.949189
     0.750167               0.950698
     0.750833               0.952146
     0.751500               0.953594
     0.752167               0.955103
     0.752833               0.956715
     0.753500               0.958360
     0.754167               0.960013
