Wavelength [microns]  Transmission [unitless]
      1.04000                0.00000
      1.04097            0.000790050
      1.04218             0.00145099
      1.04359             0.00207503
      1.04519             0.00275441
      1.04692             0.00358135
      1.04875             0.00464807
      1.05065             0.00604680
      1.05259             0.00786975
      1.05453              0.0102092
      1.05644              0.0131572
      1.05827              0.0168062
      1.06000              0.0212483
      1.06167              0.0258687
      1.06333              0.0301756
      1.06500              0.0344456
      1.06667              0.0389553
      1.06833              0.0439815
      1.07000              0.0498008
      1.07167              0.0566899
      1.07333              0.0649255
      1.07500              0.0747842
      1.07667              0.0865427
      1.07833               0.100478
      1.08000               0.116866
      1.08167               0.137515
      1.08333               0.163273
      1.08500               0.192978
      1.08667               0.225469
      1.08833               0.259582
      1.09000               0.294157
      1.09167               0.328031
      1.09333               0.360041
      1.09500               0.389027
      1.09667               0.413826
      1.09833               0.433276
      1.10000               0.446215
      1.10167               0.451767
      1.10333               0.450642
      1.10500               0.444057
      1.10667               0.433230
      1.10833               0.419378
      1.11000               0.403718
      1.11167               0.387469
      1.11333               0.371846
      1.11500               0.358068
      1.11667               0.347351
      1.11833               0.340914
      1.12000               0.339973
      1.12167               0.343921
      1.12333               0.351040
      1.12500               0.360890
      1.12667               0.373026
      1.12833               0.387008
      1.13000               0.402390
      1.13167               0.418732
      1.13333               0.435591
      1.13500               0.452523
      1.13667               0.469087
      1.13833               0.484838
      1.14000               0.499336
      1.14167               0.513332
      1.14333               0.527790
      1.14500               0.542580
      1.14667               0.557572
      1.14833               0.572638
      1.15000               0.587649
      1.15167               0.602476
      1.15333               0.616989
      1.15500               0.631059
      1.15667               0.644558
      1.15833               0.657355
      1.16000               0.669323
      1.16167               0.680611
      1.16333               0.691456
      1.16500               0.701859
      1.16667               0.711819
      1.16833               0.721337
      1.17000               0.730412
      1.17167               0.739044
      1.17333               0.747233
      1.17500               0.754980
      1.17667               0.762284
      1.17833               0.769146
      1.18000               0.775564
      1.18167               0.781338
      1.18333               0.786336
      1.18500               0.790671
      1.18667               0.794452
      1.18833               0.797790
      1.19000               0.800797
      1.19167               0.803582
      1.19333               0.806256
      1.19500               0.808931
      1.19667               0.811716
      1.19833               0.814723
      1.20000               0.818061
      1.20167               0.821670
      1.20333               0.825390
      1.20500               0.829183
      1.20667               0.833014
      1.20833               0.836844
      1.21000               0.840637
      1.21167               0.844357
      1.21333               0.847966
      1.21500               0.851428
      1.21667               0.854705
      1.21833               0.857760
      1.22000               0.860558
      1.22167               0.862971
      1.22333               0.864960
      1.22500               0.866617
      1.22667               0.868034
      1.22833               0.869304
      1.23000               0.870518
      1.23167               0.871769
      1.23333               0.873149
      1.23500               0.874751
      1.23667               0.876666
      1.23833               0.878987
      1.24000               0.881806
      1.24167               0.885083
      1.24333               0.888692
      1.24500               0.892596
      1.24667               0.896759
      1.24833               0.901142
      1.25000               0.905711
      1.25167               0.910426
      1.25333               0.915253
      1.25500               0.920153
      1.25667               0.925090
      1.25833               0.930027
      1.26000               0.934927
      1.26167               0.940171
      1.26333               0.946043
      1.26500               0.952357
      1.26667               0.958930
      1.26833               0.965576
      1.27000               0.972111
      1.27167               0.978352
      1.27333               0.984113
      1.27500               0.989210
      1.27667               0.993458
      1.27833               0.996674
      1.28000               0.998672
      1.28167               0.999668
      1.28333                1.00000
      1.28500               0.999668
      1.28667               0.998672
      1.28833               0.997012
      1.29000               0.994688
      1.29167               0.991700
      1.29333               0.988048
      1.29500               0.983732
      1.29667               0.978752
      1.29833               0.973108
      1.30000               0.966799
      1.30167               0.959489
      1.30333               0.950962
      1.30500               0.941401
      1.30667               0.930992
      1.30833               0.919919
      1.31000               0.908367
      1.31167               0.896519
      1.31333               0.884561
      1.31500               0.872676
      1.31667               0.861050
      1.31833               0.849866
      1.32000               0.839309
      1.32167               0.830991
      1.32333               0.825734
      1.32500               0.822543
      1.32667               0.820422
      1.32833               0.818375
      1.33000               0.815405
      1.33167               0.810517
      1.33333               0.802715
      1.33500               0.791003
      1.33667               0.774384
      1.33833               0.751863
      1.34000               0.722444
      1.34167               0.683094
      1.34333               0.632974
      1.34500               0.574369
      1.34667               0.509566
      1.34833               0.440854
      1.35000               0.370518
      1.35167               0.300845
      1.35333               0.234125
      1.35500               0.172643
      1.35667               0.118685
      1.35833              0.0745412
      1.36000              0.0424967
      1.36167              0.0226562
      1.36333              0.0125915
      1.36500              0.0107902
      1.36667              0.0157396
      1.36833              0.0259273
      1.37000              0.0398406
      1.37167              0.0559676
      1.37333              0.0727955
      1.37500              0.0888114
      1.37667               0.102504
      1.37833               0.112359
      1.38000               0.116866
      1.38167               0.117416
      1.38333               0.116546
      1.38500               0.114459
      1.38667               0.111357
      1.38833               0.107444
      1.39000               0.102922
      1.39167              0.0979938
      1.39333              0.0928630
      1.39500              0.0877324
      1.39667              0.0828045
      1.39833              0.0782825
      1.40000              0.0743692
      1.40167              0.0707940
      1.40333              0.0671634
      1.40500              0.0634960
      1.40667              0.0598101
      1.40833              0.0561242
      1.41000              0.0524568
      1.41167              0.0488263
      1.41333              0.0452510
      1.41500              0.0417497
      1.41667              0.0383404
      1.41833              0.0350419
      1.42000              0.0318725
      1.42167              0.0287430
      1.42333              0.0255767
      1.42500              0.0224104
      1.42667              0.0192809
      1.42833              0.0162252
      1.43000              0.0132802
      1.43167              0.0104827
      1.43333             0.00786972
      1.43500             0.00547809
      1.43667             0.00334463
      1.43833             0.00150630
      1.44000                0.00000
      1.44167                0.00000
      1.44333                0.00000
      1.44500                0.00000
      1.44667                0.00000
      1.44833                0.00000
      1.45000                0.00000
      1.45167                0.00000
      1.45333                0.00000
      1.45500                0.00000
      1.45667                0.00000
      1.45833                0.00000
      1.46000                0.00000
      1.46167                0.00000
      1.46333                0.00000
      1.46500                0.00000
      1.46667                0.00000
      1.46833                0.00000
      1.47000                0.00000
      1.47167                0.00000
      1.47333                0.00000
      1.47500                0.00000
      1.47667                0.00000
      1.47833                0.00000
      1.48000                0.00000
      1.48167                0.00000
      1.48333                0.00000
      1.48500                0.00000
      1.48667                0.00000
      1.48833                0.00000
      1.49000                0.00000
      1.49167                0.00000
      1.49333                0.00000
      1.49500                0.00000
      1.49667                0.00000
      1.49833                0.00000
      1.50000                0.00000
      1.50173                0.00000
      1.50356                0.00000
      1.50547                0.00000
      1.50741                0.00000
      1.50935                0.00000
      1.51125                0.00000
      1.51308                0.00000
      1.51481                0.00000
      1.51641                0.00000
      1.51782                0.00000
      1.51903                0.00000
      1.52000                0.00000
      1.52000                0.00000
      1.52000                0.00000
      1.52000                0.00000
      1.52000                0.00000
      1.52000                0.00000
      1.52000                0.00000
      1.52000                0.00000
      1.52000                0.00000
      1.52000                0.00000
      1.52000                0.00000
      1.52000                0.00000
