Wavelength [microns]  Transmission [unitless]
      1.06200                0.00000
      1.06313            8.53899e-05
      1.06474            0.000225472
      1.06628            0.000464913
      1.06765            0.000841730
      1.06907             0.00128504
      1.07067             0.00168815
      1.07254             0.00199884
      1.07436             0.00241558
      1.07574             0.00308814
      1.07674             0.00391754
      1.07774             0.00516073
      1.07910             0.00708097
      1.08065             0.00955008
      1.08198              0.0122138
      1.08281              0.0148914
      1.08340              0.0177401
      1.08416              0.0209021
      1.08524              0.0245229
      1.08638              0.0283455
      1.08730              0.0320040
      1.08792              0.0354708
      1.08859              0.0389737
      1.08970              0.0428164
      1.09120              0.0470874
      1.09270              0.0508687
      1.09381              0.0530516
      1.09471              0.0540996
      1.09594              0.0562657
      1.09795              0.0537033
      1.10033              0.0531830
      1.10225              0.0788115
      1.10350               0.148818
      1.10444               0.232747
      1.10530               0.289216
      1.10603               0.318119
      1.10669               0.334750
      1.10738               0.347814
      1.10804               0.353405
      1.10878               0.357191
      1.10970               0.366077
      1.11075               0.377290
      1.11193               0.380691
      1.11339               0.370617
      1.11496               0.351512
      1.11612               0.327196
      1.11652               0.291844
      1.11669               0.255203
      1.11727               0.236135
      1.11830               0.236766
      1.11948               0.246018
      1.12054               0.256021
      1.12150               0.271125
      1.12263               0.282521
      1.12426               0.280704
      1.12628               0.269368
      1.12792               0.258900
      1.12855               0.244140
      1.12867               0.231488
      1.12909               0.258827
      1.13010               0.374187
      1.13129               0.504111
      1.13226               0.526072
      1.13289               0.393322
      1.13355               0.248198
      1.13464               0.252615
      1.13618               0.406649
      1.13766               0.532654
      1.13862               0.461197
      1.13924               0.249800
      1.13992               0.111743
      1.14086               0.207521
      1.14193               0.416792
      1.14313               0.531303
      1.14436               0.458854
      1.14577               0.322217
      1.14763               0.255540
      1.15016               0.279178
      1.15282               0.317960
      1.15500               0.299416
      1.15678               0.215991
      1.15846               0.166371
      1.16028               0.250413
      1.16216               0.438727
      1.16384               0.597537
      1.16510               0.640563
      1.16609               0.626520
      1.16709               0.619519
      1.16816               0.637870
      1.16923               0.661160
      1.17030               0.682427
      1.17143               0.702771
      1.17250               0.721019
      1.17337               0.732847
      1.17398               0.735993
      1.17468               0.742191
      1.17584               0.765469
      1.17736               0.802958
      1.17883               0.829723
      1.17997               0.825822
      1.18096               0.804517
      1.18208               0.790735
      1.18354               0.793588
      1.18506               0.803086
      1.18626               0.812615
      1.18692               0.823576
      1.18752               0.833942
      1.18855               0.839983
      1.19003               0.844316
      1.19154               0.841000
      1.19275               0.821489
      1.19375               0.786927
      1.19482               0.754196
      1.19617               0.733519
      1.19768               0.718747
      1.19906               0.708167
      1.20002               0.702062
      1.20093               0.699851
      1.20246               0.699335
      1.20483               0.701553
      1.20754               0.704637
