Wavelength [microns]  Transmission [unitless]
      1.94000                0.00000
      1.94097             0.00604552
      1.94218              0.0137914
      1.94359              0.0229541
      1.94519              0.0332504
      1.94692              0.0443968
      1.94875              0.0561100
      1.95065              0.0681066
      1.95259              0.0801032
      1.95453              0.0918164
      1.95644               0.102963
      1.95827               0.113259
      1.96000               0.122422
      1.96167               0.130587
      1.96333               0.138150
      1.96500               0.145217
      1.96667               0.151894
      1.96833               0.158288
      1.97000               0.164504
      1.97167               0.170650
      1.97333               0.176832
      1.97500               0.183155
      1.97667               0.189726
      1.97833               0.196651
      1.98000               0.204036
      1.98167               0.211337
      1.98333               0.218088
      1.98500               0.224520
      1.98667               0.230863
      1.98833               0.237349
      1.99000               0.244206
      1.99167               0.251666
      1.99333               0.259958
      1.99500               0.269312
      1.99667               0.279960
      1.99833               0.292130
      2.00000               0.306055
      2.00167               0.322146
      2.00333               0.340415
      2.00500               0.360491
      2.00667               0.382002
      2.00833               0.404575
      2.01000               0.427839
      2.01167               0.451422
      2.01333               0.474952
      2.01500               0.498056
      2.01667               0.520364
      2.01833               0.541502
      2.02000               0.561100
      2.02167               0.580630
      2.02333               0.601435
      2.02500               0.622949
      2.02667               0.644604
      2.02833               0.665834
      2.03000               0.686073
      2.03167               0.704752
      2.03333               0.721307
      2.03500               0.735169
      2.03667               0.745772
      2.03833               0.752550
      2.04000               0.754935
      2.04167               0.751024
      2.04333               0.740222
      2.04500               0.723931
      2.04667               0.703548
      2.04833               0.680473
      2.05000               0.656105
      2.05167               0.631843
      2.05333               0.609087
      2.05500               0.589235
      2.05667               0.573687
      2.05833               0.563843
      2.06000               0.561100
      2.06167               0.565614
      2.06333               0.575954
      2.06500               0.591148
      2.06667               0.610220
      2.06833               0.632197
      2.07000               0.656105
      2.07167               0.680969
      2.07333               0.705815
      2.07500               0.729669
      2.07667               0.751558
      2.07833               0.770506
      2.08000               0.785540
      2.08167               0.797440
      2.08333               0.807762
      2.08500               0.816704
      2.08667               0.824458
      2.08833               0.831221
      2.09000               0.837187
      2.09167               0.842551
      2.09333               0.847507
      2.09500               0.852251
      2.09667               0.856977
      2.09833               0.861880
      2.10000               0.867155
      2.10167               0.872510
