Wavelength [microns]  Transmission [unitless]
      1.90000                0.00000
      1.90281            1.49649e-06
      1.90687            3.64587e-06
      1.91128            6.03929e-06
      1.91518            8.25681e-06
      1.91855            6.77438e-06
      1.92174            3.54203e-06
      1.92468            5.15564e-06
      1.92725            1.81417e-05
      1.92938            4.08812e-05
      1.93116            7.16894e-05
      1.93273            0.000113397
      1.93423            0.000165443
      1.93549            0.000105273
      1.93657            2.39720e-05
      1.93778            0.000133836
      1.93938            0.000644602
      1.94147             0.00160466
      1.94382             0.00287155
      1.94626             0.00430187
      1.94861             0.00575971
      1.95102             0.00728668
      1.95344             0.00891735
      1.95568              0.0106394
      1.95753              0.0124024
      1.95889              0.0138355
      1.95999              0.0153555
      1.96113              0.0176100
      1.96258              0.0211518
      1.96428              0.0255236
      1.96610              0.0308551
      1.96795              0.0375379
      1.96976              0.0459252
      1.97160              0.0559140
      1.97344              0.0673453
      1.97517              0.0801049
      1.97667              0.0940364
      1.97788               0.108955
      1.97900               0.125253
      1.98027               0.143399
      1.98197               0.165179
      1.98420               0.194524
      1.98651               0.223910
      1.98843               0.244395
      1.98946               0.246959
      1.98957               0.231191
      1.98941               0.208854
      1.98967               0.192381
      1.99086               0.191331
      1.99271               0.200225
      1.99493               0.214337
      1.99727               0.229541
      1.99966               0.242882
      2.00234               0.256357
      2.00503               0.271391
      2.00745               0.289252
      2.00938               0.313621
      2.01097               0.346193
      2.01236               0.377246
      2.01371               0.396621
      2.01500               0.390980
      2.01611               0.362096
      2.01727               0.334412
      2.01873               0.332856
      2.02066               0.376940
      2.02293               0.454427
      2.02537               0.541636
      2.02776               0.614880
      2.03006               0.666226
      2.03238               0.708886
      2.03467               0.741921
      2.03689               0.764210
      2.03881               0.774142
      2.04052               0.772549
      2.04243               0.762355
      2.04500               0.746489
      2.04861               0.717688
      2.05293               0.677291
      2.05733               0.641130
      2.06118               0.625039
      2.06450               0.639565
      2.06754               0.672925
      2.07015               0.707644
      2.07218               0.726283
      2.07331               0.721588
      2.07380               0.705352
      2.07424               0.690791
      2.07521               0.691051
      2.07676               0.710642
      2.07860               0.740424
      2.08054               0.770512
      2.08237               0.791264
      2.08405               0.803119
      2.08571               0.810377
      2.08751               0.815119
      2.08959               0.819200
      2.09208               0.820367
      2.09479               0.819737
      2.09741               0.820302
      2.09966               0.825020
      2.10156               0.834717
      2.10326               0.846709
      2.10491               0.857987
      2.10665               0.865882
      2.10843               0.871812
      2.11020               0.876047
      2.11197               0.878026
      2.11376               0.876746
      2.11564               0.869797
      2.11751               0.860961
      2.11922               0.855156
      2.12056               0.856998
      2.12128               0.866172
      2.12190               0.878796
      2.12307               0.890952
      2.12542               0.899526
      2.12901               0.906467
      2.13306               0.912337
      2.13675               0.917197
      2.13937               0.921024
      2.14116               0.923630
      2.14263               0.925330
      2.14426               0.926496
      2.14639               0.927574
      2.14872               0.928672
      2.15126               0.928983
      2.15406               0.927652
      2.15728               0.923220
      2.16106               0.915092
      2.16490               0.906635
      2.16826               0.901421
      2.17071               0.903626
      2.17245               0.912905
      2.17393               0.922168
      2.17559               0.924119
      2.17762               0.910493
      2.17978               0.883231
      2.18208               0.856013
      2.18458               0.842747
      2.18738               0.853975
      2.19046               0.882785
      2.19363               0.916889
      2.19669               0.944005
      2.19968               0.958959
      2.20270               0.968583
      2.20552               0.974981
      2.20789               0.980185
      2.20962               0.984381
      2.21085               0.986562
      2.21188               0.987513
      2.21300               0.988028
      2.21405               0.988396
      2.21496               0.988173
      2.21618               0.987055
      2.21813               0.984728
      2.22132               0.979772
      2.22532               0.973031
      2.22926               0.967144
      2.23224               0.964747
      2.23388               0.967246
      2.23479               0.972663
      2.23570               0.978449
      2.23733               0.982104
      2.23988               0.984105
      2.24288               0.985201
      2.24590               0.984962
      2.24850               0.982888
      2.25080               0.977222
      2.25292               0.969690
      2.25480               0.963414
      2.25638               0.961440
      2.25761               0.964084
      2.25857               0.969394
      2.25942               0.975555
      2.26028               0.981061
      2.26111               0.988174
      2.26188               0.995470
      2.26259                1.00000
      2.26321               0.998658
      2.26365               0.989442
      2.26403               0.976817
      2.26456               0.966269
      2.26542               0.963013
      2.26670               0.967004
      2.26815               0.974074
      2.26946               0.980028
      2.27037               0.981445
      2.27088               0.980601
      2.27124               0.977658
      2.27169               0.971987
      2.27246               0.961760
      2.27354               0.943373
      2.27470               0.923929
      2.27569               0.911843
      2.27628               0.916081
      2.27647               0.938101
      2.27655               0.964613
      2.27680               0.981363
      2.27748               0.975658
      2.27849               0.950892
      2.27963               0.919596
      2.28070               0.894377
      2.28159               0.883862
      2.28240               0.881450
      2.28315               0.884284
      2.28383               0.890110
      2.28439               0.900477
      2.28479               0.919058
      2.28520               0.936621
      2.28582               0.943358
      2.28686               0.930797
      2.28823               0.902893
      2.28966               0.870242
      2.29085               0.843494
      2.29162               0.829529
      2.29213               0.822764
      2.29252               0.816981
      2.29295               0.806027
      2.29345               0.785600
      2.29396               0.759096
      2.29447               0.731736
      2.29497               0.708734
      2.29548               0.693530
      2.29599               0.682990
      2.29649               0.672560
      2.29700               0.657687
      2.29739               0.636932
      2.29770               0.612761
      2.29817               0.586474
      2.29906               0.559362
      2.30056               0.530452
      2.30247               0.499708
      2.30445               0.469173
      2.30616               0.440888
      2.30755               0.416045
      2.30878               0.393047
      2.30997               0.369736
      2.31120               0.343932
      2.31250               0.313778
      2.31380               0.281612
      2.31506               0.250993
      2.31624               0.225385
      2.31727               0.204459
      2.31823               0.186814
      2.31921               0.171994
      2.32031               0.159683
      2.32160               0.151658
      2.32295               0.146413
      2.32424               0.141109
      2.32530               0.133013
      2.32600               0.122110
      2.32658               0.110101
      2.32732              0.0985170
      2.32851              0.0887542
      2.33025              0.0803543
      2.33222              0.0728533
      2.33410              0.0660687
      2.33555              0.0598428
      2.33662              0.0542583
      2.33752              0.0493410
      2.33844              0.0450799
      2.33957              0.0414916
      2.34092              0.0386827
      2.34231              0.0364958
      2.34353              0.0347311
      2.34439              0.0334008
      2.34481              0.0331109
      2.34511              0.0329836
      2.34563              0.0319358
      2.34664              0.0288805
      2.34797              0.0237801
      2.34954              0.0180341
      2.35131              0.0131196
      2.35335              0.0102280
      2.35586             0.00880215
      2.35841             0.00805023
      2.36051             0.00722737
      2.36170             0.00574064
      2.36208             0.00387988
      2.36223             0.00211776
      2.36274            0.000914597
      2.36403            0.000698238
      2.36584             0.00133309
      2.36784             0.00226692
      2.36967             0.00293994
      2.37106             0.00303010
      2.37218             0.00284599
      2.37330             0.00251437
      2.37473             0.00215004
      2.37655             0.00176567
      2.37859             0.00128604
      2.38093            0.000808887
      2.38368            0.000435482
      2.38729            0.000219115
      2.39171            0.000103609
      2.39592            4.57343e-05
      2.39890            2.66851e-06
      2.39900                0.00000
      2.39900                0.00000
      2.39900                0.00000
