Wavelength [microns]  Transmission [unitless]
      3.04000                0.00000
      3.04193            0.000916919
      3.04435             0.00181412
      3.04719             0.00275076
      3.05037             0.00378599
      3.05383             0.00497897
      3.05750             0.00638885
      3.06131             0.00807480
      3.06519              0.0100960
      3.06906              0.0125115
      3.07287              0.0153806
      3.07654              0.0187623
      3.08000              0.0227159
      3.08333              0.0265578
      3.08667              0.0297884
      3.09000              0.0327429
      3.09333              0.0357565
      3.09667              0.0391646
      3.10000              0.0433022
      3.10333              0.0485047
      3.10667              0.0551071
      3.11000              0.0634449
      3.11333              0.0738530
      3.11667              0.0866669
      3.12000               0.102222
      3.12333               0.122259
      3.12667               0.147522
      3.13000               0.176847
      3.13333               0.209071
      3.13667               0.243029
      3.14000               0.277560
      3.14333               0.311499
      3.14667               0.343684
      3.15000               0.372949
      3.15333               0.398133
      3.15667               0.418072
      3.16000               0.431602
      3.16333               0.437732
      3.16667               0.437097
      3.17000               0.430981
      3.17333               0.420665
      3.17667               0.407431
      3.18000               0.392559
      3.18333               0.377333
      3.18667               0.363034
      3.19000               0.350943
      3.19333               0.342343
      3.19667               0.338514
      3.20000               0.340739
      3.20333               0.348860
      3.20667               0.361378
      3.21000               0.377563
      3.21333               0.396687
      3.21667               0.418020
      3.22000               0.440831
      3.22333               0.464391
      3.22667               0.487972
      3.23000               0.510842
      3.23333               0.532273
      3.23667               0.551535
      3.24000               0.567898
      3.24333               0.583009
      3.24667               0.598712
      3.25000               0.614572
      3.25333               0.630156
      3.25667               0.645031
      3.26000               0.658762
      3.26333               0.670915
      3.26667               0.681057
      3.27000               0.688754
      3.27333               0.693572
      3.27667               0.695077
      3.28000               0.692836
      3.28333               0.685185
      3.28667               0.671539
      3.29000               0.653083
      3.29333               0.630998
      3.29667               0.606468
      3.30000               0.580676
      3.30333               0.554805
      3.30667               0.530038
      3.31000               0.507559
      3.31333               0.488550
      3.31667               0.474195
      3.32000               0.465676
      3.32333               0.462590
      3.32667               0.463389
      3.33000               0.467540
      3.33333               0.474510
      3.33667               0.483768
      3.34000               0.494781
      3.34333               0.507017
      3.34667               0.519942
      3.35000               0.533026
      3.35333               0.545734
      3.35667               0.557536
      3.36000               0.567898
      3.36333               0.577586
