Wavelength [microns]  Transmission [unitless]
      3.44000                0.00000
      3.44193            0.000496172
      3.44435            0.000446261
      3.44719            7.92702e-05
      3.45037                0.00000
      3.45383                0.00000
      3.45750                0.00000
      3.46131            2.05528e-05
      3.46519             0.00150320
      3.46906             0.00404277
      3.47287             0.00786829
      3.47654              0.0132087
      3.48000              0.0202931
      3.48333              0.0279177
      3.48667              0.0350667
      3.49000              0.0422509
      3.49333              0.0499812
      3.49667              0.0587684
      3.50000              0.0691234
      3.50333              0.0815571
      3.50667              0.0965802
      3.51000               0.114704
      3.51333               0.136438
      3.51667               0.162295
      3.52000               0.192785
      3.52333               0.230379
      3.52667               0.276095
      3.53000               0.328257
      3.53333               0.385194
      3.53667               0.445230
      3.54000               0.506694
      3.54333               0.567911
      3.54667               0.627208
      3.55000               0.682911
      3.55333               0.733348
      3.55667               0.776843
      3.56000               0.811725
      3.56333               0.838589
      3.56667               0.859639
      3.57000               0.875616
      3.57333               0.887260
      3.57667               0.895311
      3.58000               0.900507
      3.58333               0.903590
      3.58667               0.905299
      3.59000               0.906373
      3.59333               0.907553
      3.59667               0.909579
      3.60000               0.913190
      3.60333               0.917459
      3.60667               0.920988
      3.61000               0.923813
      3.61333               0.925968
      3.61667               0.927488
      3.62000               0.928410
      3.62333               0.928769
      3.62667               0.928598
      3.63000               0.927935
      3.63333               0.926813
      3.63667               0.925269
      3.64000               0.923337
      3.64333               0.920654
      3.64667               0.916948
      3.65000               0.912398
      3.65333               0.907178
      3.65667               0.901464
      3.66000               0.895434
      3.66333               0.889263
      3.66667               0.883127
      3.67000               0.877202
      3.67333               0.871665
      3.67667               0.866691
      3.68000               0.862458
      3.68333               0.858629
      3.68667               0.854801
      3.69000               0.851043
      3.69333               0.847426
      3.69667               0.844020
      3.70000               0.840896
      3.70333               0.838125
      3.70667               0.835776
      3.71000               0.833921
      3.71333               0.832629
      3.71667               0.831971
      3.72000               0.832018
      3.72333               0.832978
      3.72667               0.834907
      3.73000               0.837646
      3.73333               0.841037
      3.73667               0.844921
      3.74000               0.849140
      3.74333               0.853535
      3.74667               0.857948
      3.75000               0.862220
      3.75333               0.866192
      3.75667               0.869707
      3.76000               0.872604
      3.76333               0.875135
      3.76667               0.877631
      3.77000               0.880056
      3.77333               0.882375
      3.77667               0.884553
      3.78000               0.886556
      3.78333               0.888347
      3.78667               0.889891
      3.79000               0.891153
      3.79333               0.892099
      3.79667               0.892692
      3.80000               0.892897
      3.80333               0.892401
      3.80667               0.891042
      3.81000               0.889013
      3.81333               0.886509
      3.81667               0.883723
      3.82000               0.880848
      3.82333               0.878080
      3.82667               0.875611
      3.83000               0.873635
      3.83333               0.872346
      3.83667               0.871938
      3.84000               0.872604
      3.84333               0.874313
      3.84667               0.876832
      3.85000               0.880056
      3.85333               0.883878
      3.85667               0.888194
      3.86000               0.892897
      3.86333               0.897883
      3.86667               0.903044
      3.87000               0.908276
      3.87333               0.913472
      3.87667               0.918528
      3.88000               0.923337
      3.88333               0.928249
      3.88667               0.933601
      3.89000               0.939270
      3.89333               0.945133
      3.89667               0.951067
      3.90000               0.956948
      3.90333               0.962652
      3.90667               0.968057
      3.91000               0.973039
      3.91333               0.977476
      3.91667               0.981242
      3.92000               0.984216
      3.92333               0.986348
      3.92667               0.987740
      3.93000               0.988497
      3.93333               0.988726
      3.93667               0.988532
      3.94000               0.988021
      3.94333               0.987299
      3.94667               0.986471
      3.95000               0.985643
      3.95333               0.984921
