Wavelength [microns]  Transmission [unitless]
      4.44000                0.00000
      4.44193              0.0119972
      4.44435              0.0263097
      4.44719              0.0427648
      4.45037              0.0611897
      4.45383              0.0814116
      4.45750               0.103258
      4.46131               0.126555
      4.46519               0.151131
      4.46906               0.176813
      4.47287               0.203428
      4.47654               0.230803
      4.48000               0.258766
      4.48333               0.289609
      4.48667               0.324978
      4.49000               0.363734
      4.49333               0.404737
      4.49667               0.446845
      4.50000               0.488919
      4.50333               0.529817
      4.50667               0.568401
      4.51000               0.603528
      4.51333               0.634060
      4.51667               0.658855
      4.52000               0.676773
      4.52333               0.686737
      4.52667               0.689306
      4.53000               0.685792
      4.53333               0.677510
      4.53667               0.665772
      4.54000               0.651891
      4.54333               0.637181
      4.54667               0.622955
      4.55000               0.610526
      4.55333               0.601207
      4.55667               0.596312
      4.56000               0.597153
      4.56333               0.602895
      4.56667               0.611574
      4.57000               0.622811
      4.57333               0.636225
      4.57667               0.651437
      4.58000               0.668064
      4.58333               0.685729
      4.58667               0.704050
      4.59000               0.722648
      4.59333               0.741142
      4.59667               0.759152
      4.60000               0.776298
      4.60333               0.794228
      4.60667               0.814404
      4.61000               0.836169
      4.61333               0.858867
      4.61667               0.881842
      4.62000               0.904437
      4.62333               0.925995
      4.62667               0.945860
      4.63000               0.963375
      4.63333               0.977883
      4.63667               0.988729
      4.64000               0.995254
      4.64333               0.998543
      4.64667                1.00000
      4.65000               0.999453
      4.65333               0.996729
      4.65667               0.991654
      4.66000               0.984057
      4.66333               0.973765
      4.66667               0.960604
      4.67000               0.944403
      4.67333               0.924987
      4.67667               0.902185
      4.68000               0.875824
      4.68333               0.841733
      4.68667               0.797447
      4.69000               0.745352
      4.69333               0.687831
      4.69667               0.627269
      4.70000               0.566051
      4.70333               0.506560
      4.70667               0.451182
      4.71000               0.402300
      4.71333               0.362300
      4.71667               0.333566
      4.72000               0.318481
      4.72333               0.318573
      4.72667               0.332212
      4.73000               0.357047
      4.73333               0.390729
      4.73667               0.430908
      4.74000               0.475234
      4.74333               0.521357
      4.74667               0.566926
      4.75000               0.609593
      4.75333               0.647007
      4.75667               0.676819
      4.76000               0.696678
      4.76333               0.707615
      4.76667               0.712851
      4.77000               0.713317
      4.77333               0.709948
      4.77667               0.703676
      4.78000               0.695434
      4.78333               0.686155
      4.78667               0.676773
      4.79000               0.668220
      4.79333               0.661429
      4.79667               0.657334
      4.80000               0.656868
      4.80333               0.659131
      4.80667               0.662535
      4.81000               0.666976
      4.81333               0.672350
      4.81667               0.678553
      4.82000               0.685481
      4.82333               0.693032
      4.82667               0.701101
      4.83000               0.709585
      4.83333               0.718380
      4.83667               0.727382
      4.84000               0.736488
      4.84333               0.746452
      4.84667               0.757868
      4.85000               0.770389
      4.85333               0.783671
      4.85667               0.797367
      4.86000               0.811132
      4.86333               0.824621
      4.86667               0.837488
      4.87000               0.849387
      4.87333               0.859973
      4.87667               0.868901
      4.88000               0.875824
      4.88333               0.881146
      4.88667               0.885500
      4.89000               0.888886
      4.89333               0.891305
      4.89667               0.892757
      4.90000               0.893241
      4.90333               0.892757
      4.90667               0.891305
      4.91000               0.888886
      4.91333               0.885500
      4.91667               0.881145
      4.92000               0.875824
      4.92333               0.868647
      4.92667               0.859052
      4.93000               0.847521
      4.93333               0.834539
      4.93667               0.820589
      4.94000               0.806156
      4.94333               0.791722
      4.94667               0.777773
      4.95000               0.764791
      4.95333               0.753260
      4.95667               0.743664
      4.96000               0.736488
      4.96333               0.732497
      4.96667               0.731650
      4.97000               0.733222
      4.97333               0.736488
      4.97667               0.740721
      4.98000               0.745197
      4.98333               0.749188
      4.98667               0.751970
      4.99000               0.752816
      4.99333               0.751002
      4.99667               0.745801
      5.00000               0.736488
      5.00333               0.723149
      5.00667               0.706630
      5.01000               0.687347
      5.01333               0.665714
      5.01667               0.642146
      5.02000               0.617058
      5.02333               0.590863
      5.02667               0.563977
      5.03000               0.536815
      5.03333               0.509791
      5.03667               0.483320
      5.04000               0.457817
      5.04333               0.431910
      5.04667               0.404276
      5.05000               0.375397
      5.05333               0.345758
      5.05667               0.315843
      5.06000               0.286136
      5.06333               0.257119
      5.06667               0.229277
      5.07000               0.203094
      5.07333               0.179053
      5.07667               0.157639
      5.08000               0.139336
      5.08333               0.124274
      5.08667               0.112012
      5.09000               0.102169
      5.09333              0.0943648
      5.09667              0.0882193
      5.10000              0.0833525
      5.10333              0.0793842
      5.10667              0.0759341
      5.11000              0.0726224
      5.11333              0.0690688
      5.11667              0.0648930
      5.12000              0.0597152
      5.12333              0.0538520
      5.12667              0.0479196
      5.13000              0.0419873
      5.13333              0.0361240
      5.13667              0.0303989
      5.14000              0.0248814
      5.14333              0.0196401
      5.14667              0.0147444
      5.15000              0.0102636
      5.15333             0.00626639
      5.15667             0.00282214
      5.16000                0.00000
      5.16333                0.00000
      5.16667                0.00000
      5.17000                0.00000
      5.17333                0.00000
      5.17667                0.00000
      5.18000                0.00000
      5.18333                0.00000
      5.18667                0.00000
      5.19000                0.00000
      5.19333                0.00000
      5.19667                0.00000
      5.20000                0.00000
      5.20333                0.00000
      5.20667                0.00000
      5.21000                0.00000
      5.21333                0.00000
      5.21667                0.00000
      5.22000                0.00000
      5.22333                0.00000
      5.22667                0.00000
      5.23000                0.00000
      5.23333                0.00000
      5.23667                0.00000
      5.24000                0.00000
      5.24333                0.00000
      5.24667                0.00000
      5.25000                0.00000
      5.25333                0.00000
      5.25667                0.00000
      5.26000                0.00000
      5.26333                0.00000
      5.26667                0.00000
      5.27000                0.00000
      5.27333                0.00000
      5.27667                0.00000
      5.28000                0.00000
      5.28333                0.00000
      5.28667                0.00000
      5.29000                0.00000
      5.29333                0.00000
      5.29667                0.00000
      5.30000                0.00000
      5.30333                0.00000
      5.30667                0.00000
      5.31000                0.00000
      5.31333                0.00000
      5.31667                0.00000
      5.32000                0.00000
      5.32333                0.00000
      5.32667                0.00000
      5.33000                0.00000
      5.33333                0.00000
      5.33667                0.00000
      5.34000                0.00000
      5.34333                0.00000
      5.34667                0.00000
      5.35000                0.00000
      5.35333                0.00000
      5.35667                0.00000
      5.36000                0.00000
      5.36346                0.00000
      5.36713                0.00000
      5.37094                0.00000
      5.37481                0.00000
      5.37869                0.00000
      5.38250                0.00000
      5.38617                0.00000
      5.38963                0.00000
      5.39281                0.00000
      5.39565                0.00000
      5.39807                0.00000
      5.40000                0.00000
      5.40000                0.00000
      5.40000                0.00000
      5.40000                0.00000
      5.40000                0.00000
      5.40000                0.00000
      5.40000                0.00000
      5.40000                0.00000
      5.40000                0.00000
      5.40000                0.00000
      5.40000                0.00000
      5.40000                0.00000
