Wavelength [microns]  Transmission [unitless]
      107.650            2.19214e-07
      108.958            2.23016e-06
      110.266            4.99820e-05
      111.574            0.000307245
      112.882             0.00103196
      114.190             0.00288461
      115.498             0.00485808
      116.806             0.00746035
      118.114              0.0129498
      119.422              0.0236104
      120.730              0.0405819
      122.038              0.0681245
      123.346               0.112486
      124.654               0.180764
      125.962               0.276249
      127.270               0.397235
      128.578               0.534755
      129.886               0.664609
      131.194               0.769552
      132.502               0.827008
      133.810               0.831081
      135.118               0.822428
      136.426               0.845938
      137.734               0.887953
      139.042               0.917743
      140.350               0.930795
      141.658               0.931872
      142.966               0.932151
      144.274               0.935025
      145.582               0.943285
      146.890               0.958166
      148.198               0.967862
      149.506               0.981793
      150.814               0.992626
      152.122               0.994602
      153.430               0.991129
      154.738               0.998487
      156.046                1.00000
      157.354               0.983662
      158.662               0.970231
      159.970               0.956189
      161.278               0.924196
      162.586               0.913119
      163.894               0.894737
      165.202               0.861647
      166.510               0.839142
      167.818               0.808684
      169.126               0.791472
      170.434               0.773094
      171.742               0.764056
      173.050               0.769032
      174.358               0.757700
      175.666               0.757659
      176.974               0.747911
      178.282               0.746408
      179.590               0.735267
      180.898               0.739092
      182.206               0.740586
      183.514               0.749405
      184.822               0.738830
      186.130               0.741003
      187.438               0.742501
      188.746               0.748097
      190.054               0.736054
      191.362               0.730797
      192.670               0.715298
      193.978               0.702220
      195.286               0.668927
      196.594               0.637563
      197.902               0.610639
      199.210               0.578984
      200.518               0.547183
      201.826               0.501816
      203.134               0.469498
      204.442               0.427771
      205.750               0.385214
      207.058               0.348517
      208.366               0.299629
      209.674               0.266859
      210.982               0.237987
      212.290               0.210661
      213.598               0.184895
      214.906               0.158547
      216.214               0.137397
      217.522               0.119463
      218.830               0.102402
      220.138              0.0883737
      221.446              0.0759076
      222.754              0.0654527
      224.062              0.0575559
      225.370              0.0500510
      226.678              0.0429546
      227.986              0.0375034
      229.294              0.0327552
      230.602              0.0281018
      231.910              0.0242490
      233.218              0.0212204
      234.526              0.0186596
      235.834              0.0165091
      237.142              0.0146505
      238.450              0.0129740
      239.758              0.0114734
      241.066              0.0103641
      242.374             0.00925600
      243.682             0.00797179
      244.990             0.00717842
      246.298             0.00654600
      247.606             0.00584414
      248.914             0.00514994
      250.222             0.00464354
      251.530             0.00425087
      252.838             0.00383675
      254.146             0.00349350
      255.454             0.00321359
      256.762             0.00296350
      258.070             0.00269643
      259.378             0.00245893
      260.686             0.00225276
      261.994             0.00204131
      263.302             0.00181128
      264.610             0.00161390
      265.918             0.00146428
      267.226             0.00132032
      268.534             0.00116656
      269.842             0.00101456
      271.150            0.000905355
      272.458            0.000818688
      273.766            0.000736438
      275.074            0.000652661
      276.382            0.000584171
      277.690            0.000538963
      278.998            0.000506652
      280.306            0.000467802
      281.614            0.000420619
      282.922            0.000380965
      284.230            0.000347246
      285.538            0.000319882
      286.846            0.000289019
      288.154            0.000257040
      289.462            0.000223517
      290.770            0.000201195
      292.078            0.000183430
      293.386            0.000160710
      294.694            0.000141243
      296.002            0.000126241
      297.310            0.000129394
      298.618            0.000137088
      299.926            0.000142152
      301.234            0.000144085
      302.542            0.000140539
      303.850            0.000139859
      305.158            0.000140516
      306.466            0.000134073
      307.774            0.000126391
      309.082            0.000113344
      310.390            0.000103064
      311.698            0.000100405
      313.006            9.75415e-05
      314.314            9.42105e-05
      315.622            8.84510e-05
      316.930            8.07480e-05
      318.238            7.61096e-05
      319.546            7.36634e-05
      320.854            6.96926e-05
      322.162            6.50493e-05
      323.470            5.75604e-05
      324.778            4.89845e-05
      326.086            4.32527e-05
      327.394            3.88272e-05
      328.702            3.52845e-05
      330.010            3.21911e-05
      331.318            2.79805e-05
      332.626            2.31227e-05
      333.934            2.02292e-05
      335.242            1.95101e-05
      336.550            1.95101e-05
      337.858            2.10697e-05
      339.166            2.23599e-05
      340.474            2.17153e-05
      341.782            2.08163e-05
      343.090            2.14496e-05
      344.398            2.19214e-05
      345.706            2.39119e-05
      347.014            2.67539e-05
      348.322            2.94679e-05
      349.630            3.22192e-05
      350.938            3.50320e-05
      352.246            3.76941e-05
      353.554            4.03422e-05
      354.862            4.27572e-05
      356.170            4.50213e-05
      357.478            4.62693e-05
      358.786            4.43330e-05
      360.094            4.25451e-05
      361.402            3.87920e-05
      362.710            3.46253e-05
      364.018            3.11375e-05
      365.326            2.88212e-05
      366.634            2.65864e-05
      367.942            2.34659e-05
      369.250            1.99485e-05
      370.558            1.64183e-05
      371.866            1.17675e-05
      373.174            7.12885e-06
      374.482            4.01767e-06
      375.790            2.64461e-06
      377.098            1.09607e-06
      378.406            6.57643e-07
      379.714            6.57643e-07
      381.022            6.57643e-07
      382.330            6.57643e-07
      383.638            6.57643e-07
      384.946            6.57643e-07
      386.254            6.57643e-07
      387.562            6.57643e-07
      388.870            1.39768e-06
      390.178            3.41423e-06
      391.486            5.24523e-06
      392.794            7.01625e-06
      394.102            8.33504e-06
      395.410            9.86464e-06
      396.718            1.16345e-05
      398.026            1.35771e-05
      399.334            1.55480e-05
      400.642            1.75248e-05
      401.950            1.95101e-05
      403.258            2.14830e-05
      404.566            2.25791e-05
      405.874            2.25791e-05
      407.182            2.25791e-05
      408.490            2.25791e-05
      409.798            2.23599e-05
      411.106            2.21304e-05
      412.414            2.21406e-05
      413.722            2.21406e-05
      415.030            2.21406e-05
      416.338            2.21406e-05
      417.646            2.08361e-05
      418.954            1.94993e-05
      420.262            1.79756e-05
      421.570            1.66708e-05
      422.878            1.53450e-05
      424.186            1.40235e-05
      425.494            1.29336e-05
      426.802            1.22720e-05
      428.110            1.18376e-05
      429.418            1.13991e-05
      430.726            1.05223e-05
      432.034            9.20700e-06
      433.342            7.89171e-06
      434.650            6.79564e-06
      435.958            5.70193e-06
      437.266            4.60350e-06
      438.574            3.72664e-06
      439.882            3.06900e-06
      441.190            2.84978e-06
      442.498            2.84978e-06
      443.806            2.63057e-06
      445.114            2.63057e-06
      446.422            2.41136e-06
      447.730            2.19214e-06
      449.038            2.19214e-06
      450.346            2.19214e-06
      451.654            2.19214e-06
      452.962            2.41136e-06
      454.270            2.41136e-06
      455.578            3.06900e-06
      456.886            3.94586e-06
      458.194            4.60350e-06
      459.502            5.26114e-06
      460.810            5.69957e-06
      462.118            6.13800e-06
      463.426            6.35721e-06
      464.734            6.57643e-06
      466.042            6.57643e-06
      467.350            6.57643e-06
      468.658            6.35721e-06
      469.966            6.29569e-06
      471.274            6.79564e-06
      472.582            7.87555e-06
      473.890            9.20700e-06
      475.198            1.05182e-05
      476.506            1.20568e-05
      477.814            1.31467e-05
      479.122            1.44681e-05
      480.430            1.57834e-05
      481.738            1.70987e-05
      483.046            1.81954e-05
      484.354            1.90716e-05
      485.662            1.99907e-05
      486.970            2.10446e-05
      488.278            2.25909e-05
      489.586            2.51579e-05
      490.894            2.78227e-05
      492.202            3.04757e-05
      493.510            3.35503e-05
      494.818            3.60229e-05
      496.126            3.83483e-05
      497.434            4.09315e-05
      498.742            4.33944e-05
