Wavelength [microns]  Transmission [unitless]
     0.520000                0.00000
     0.520880             0.00220168
     0.521967             0.00430358
     0.523236             0.00644070
     0.524659             0.00874802
     0.526209              0.0113605
     0.527859              0.0144132
     0.529581              0.0180410
     0.531350              0.0223790
     0.533137              0.0275621
     0.534916              0.0337254
     0.536660              0.0410037
     0.538341              0.0495322
     0.539933              0.0594457
     0.541467              0.0709892
     0.543000              0.0842038
     0.544533              0.0988740
     0.546067               0.114784
     0.547600               0.131717
     0.549133               0.149458
     0.550667               0.167790
     0.552200               0.186498
     0.553733               0.205366
     0.555267               0.224177
     0.556800               0.242716
     0.558333               0.260767
     0.559867               0.278113
     0.561400               0.295026
     0.562933               0.312074
     0.564467               0.329221
     0.566000               0.346426
     0.567533               0.363648
     0.569067               0.380848
     0.570600               0.397984
     0.572133               0.415016
     0.573667               0.431904
     0.575200               0.448607
     0.576733               0.465085
     0.578267               0.481296
     0.579800               0.497202
     0.581333               0.512956
     0.582867               0.528811
     0.584400               0.544690
     0.585933               0.560513
     0.587467               0.576199
     0.589000               0.591667
     0.590533               0.606835
     0.592067               0.621623
     0.593600               0.635950
     0.595133               0.649734
     0.596667               0.662895
     0.598200               0.675352
     0.599733               0.687024
     0.601267               0.697807
     0.602800               0.707683
     0.604333               0.716759
     0.605867               0.725142
     0.607400               0.732941
     0.608933               0.740263
     0.610467               0.747217
     0.612000               0.753910
     0.613533               0.760451
     0.615067               0.766946
     0.616600               0.773506
     0.618133               0.780236
     0.619667               0.787246
     0.621200               0.794525
     0.622733               0.801849
     0.624267               0.809184
     0.625800               0.816503
     0.627333               0.823778
     0.628867               0.830983
     0.630400               0.838090
     0.631933               0.845073
     0.633467               0.851904
     0.635000               0.858557
     0.636533               0.865005
     0.638067               0.871220
     0.639600               0.877175
     0.641133               0.882864
     0.642667               0.888325
     0.644200               0.893575
     0.645733               0.898627
     0.647267               0.903496
     0.648800               0.908193
     0.650333               0.912733
     0.651867               0.917129
     0.653400               0.921395
     0.654933               0.925544
     0.656467               0.929590
     0.658000               0.933546
     0.659533               0.937426
     0.661067               0.941228
     0.662600               0.944915
     0.664133               0.948485
     0.665667               0.951937
     0.667200               0.955272
     0.668733               0.958490
     0.670267               0.961590
     0.671800               0.964573
     0.673333               0.967439
     0.674867               0.970187
     0.676400               0.972818
     0.677933               0.975332
     0.679467               0.977728
     0.681000               0.980077
     0.682533               0.982587
     0.684067               0.985198
     0.685600               0.987829
     0.687133               0.990399
     0.688667               0.992827
     0.690200               0.995031
     0.691733               0.996932
     0.693267               0.998448
     0.694800               0.999497
     0.696333                1.00000
     0.697867               0.999875
     0.699400               0.999040
     0.700933               0.997433
     0.702467               0.995100
     0.704000               0.992113
     0.705533               0.988539
     0.707067               0.984446
     0.708600               0.979901
     0.710133               0.974971
     0.711667               0.969724
     0.713200               0.964228
     0.714733               0.958550
     0.716267               0.952758
     0.717800               0.946919
     0.719333               0.941100
     0.720867               0.935230
     0.722400               0.928758
     0.723933               0.921735
     0.725467               0.914295
     0.727000               0.906573
     0.728533               0.898704
     0.730067               0.890823
     0.731600               0.883066
     0.733133               0.875567
     0.734667               0.868461
     0.736200               0.861884
     0.737733               0.855969
     0.739267               0.850853
     0.740800               0.846825
     0.742333               0.844657
     0.743867               0.844083
     0.745400               0.844684
     0.746933               0.846042
     0.748467               0.847737
     0.750000               0.849352
     0.751533               0.850468
     0.753067               0.850667
     0.754600               0.849530
     0.756133               0.846639
     0.757667               0.841575
     0.759200               0.833920
     0.760733               0.823245
     0.762267               0.809386
     0.763800               0.792763
     0.765333               0.773848
     0.766867               0.753113
     0.768400               0.731032
     0.769933               0.708076
     0.771467               0.684718
     0.773000               0.661430
     0.774533               0.638686
     0.776067               0.616957
     0.777600               0.596715
     0.779133               0.578434
     0.780667               0.562422
     0.782200               0.547671
     0.783733               0.533842
     0.785267               0.520838
     0.786800               0.508566
     0.788333               0.496932
     0.789867               0.485840
     0.791400               0.475197
     0.792933               0.464908
     0.794467               0.454878
     0.796000               0.445013
     0.797533               0.435218
     0.799067               0.425400
     0.800600               0.415526
     0.802133               0.406108
     0.803667               0.397204
     0.805200               0.388720
     0.806733               0.380561
     0.808267               0.372633
     0.809800               0.364841
     0.811333               0.357091
     0.812867               0.349287
     0.814400               0.341337
     0.815933               0.333144
     0.817467               0.324616
     0.819000               0.315656
     0.820533               0.306159
     0.822067               0.295953
     0.823600               0.285125
     0.825133               0.273825
     0.826667               0.262200
     0.828200               0.250398
     0.829733               0.238570
     0.831267               0.226862
     0.832800               0.215423
     0.834333               0.204402
     0.835867               0.193948
     0.837400               0.184209
     0.838933               0.175332
     0.840467               0.167456
     0.842000               0.160474
     0.843533               0.154250
     0.845067               0.148688
     0.846600               0.143694
     0.848133               0.139174
     0.849667               0.135033
     0.851200               0.131177
     0.852733               0.127511
     0.854267               0.123940
     0.855800               0.120371
     0.857333               0.116708
     0.858867               0.112857
     0.860400               0.108735
     0.861933               0.104489
     0.863467               0.100218
     0.865000              0.0959499
     0.866533              0.0917109
     0.868067              0.0875282
     0.869600              0.0834289
     0.871133              0.0794398
     0.872667              0.0755882
     0.874200              0.0719008
     0.875733              0.0684048
     0.877267              0.0651272
     0.878800              0.0620948
     0.880333              0.0593333
     0.881867              0.0568183
     0.883400              0.0545217
     0.884933              0.0524299
     0.886467              0.0505295
     0.888000              0.0488069
     0.889533              0.0472485
     0.891067              0.0458411
     0.892600              0.0445709
     0.894133              0.0434247
     0.895667              0.0423887
     0.897200              0.0414496
     0.898733              0.0405938
     0.900267              0.0398132
     0.901800              0.0393064
     0.903333              0.0391312
     0.904867              0.0392201
     0.906400              0.0395056
     0.907933              0.0399202
     0.909467              0.0403965
     0.911000              0.0408669
     0.912533              0.0412639
     0.914067              0.0415201
     0.915600              0.0415679
     0.917133              0.0413399
     0.918667              0.0407685
     0.920200              0.0397864
     0.921733              0.0383584
     0.923267              0.0365371
     0.924800              0.0343901
     0.926333              0.0319848
     0.927867              0.0293888
     0.929400              0.0266696
     0.930933              0.0238946
     0.932467              0.0211314
     0.934000              0.0184473
     0.935533              0.0159101
     0.937067              0.0135870
     0.938600              0.0115456
     0.940134             0.00985258
     0.941730             0.00842197
     0.943415             0.00715280
     0.945161             0.00603150
     0.946941             0.00504463
     0.948728             0.00417863
     0.950495             0.00342005
     0.952215             0.00275538
     0.953861             0.00217110
     0.955406             0.00165374
     0.956822             0.00118977
     0.958084            0.000765725
     0.959163            0.000368089
     0.960000                0.00000
     0.960000                0.00000
     0.960000                0.00000
     0.960000                0.00000
     0.960000                0.00000
     0.960000                0.00000
     0.960000                0.00000
     0.960000                0.00000
     0.960000                0.00000
     0.960000                0.00000
     0.960000                0.00000
     0.960000                0.00000
     0.960000                0.00000
