Wavelength [microns]  Transmission [unitless]
     0.550000                0.00000
     0.550765             0.00577047
     0.551855              0.0136991
     0.553109              0.0235309
     0.554368              0.0350113
     0.555500              0.0476197
     0.556600              0.0600423
     0.557700              0.0739724
     0.558800              0.0916078
     0.559900               0.115146
     0.561000               0.144767
     0.562100               0.178933
     0.563200               0.218358
     0.564300               0.263774
     0.565400               0.316329
     0.566500               0.379448
     0.567600               0.449458
     0.568700               0.521009
     0.569800               0.588749
     0.570900               0.652636
     0.572000               0.717765
     0.573100               0.779333
     0.574200               0.832275
     0.575300               0.871534
     0.576400               0.895054
     0.577500               0.907524
     0.578600               0.914516
     0.579700               0.921604
     0.580800               0.931483
     0.581900               0.939776
     0.583000               0.946996
     0.584100               0.954005
     0.585200               0.961667
     0.586300               0.970625
     0.587400               0.980035
     0.588500               0.988686
     0.589600               0.995368
     0.590700               0.999025
     0.591800                1.00000
     0.592900               0.999313
     0.594000               0.997983
     0.595100               0.997023
     0.596200               0.996353
     0.597300               0.995456
     0.598400               0.994299
     0.599500               0.992851
     0.600600               0.991069
     0.601700               0.988916
     0.602800               0.986477
     0.603900               0.983846
     0.605000               0.981120
     0.606100               0.978231
     0.607200               0.975130
     0.608300               0.971947
     0.609400               0.968809
     0.610500               0.965820
     0.611600               0.962905
     0.612700               0.960038
     0.613800               0.957219
     0.614900               0.954449
     0.616000               0.951838
     0.617100               0.949409
     0.618200               0.946941
     0.619300               0.944211
     0.620400               0.940995
     0.621500               0.937227
     0.622600               0.933131
     0.623700               0.928961
     0.624800               0.924973
     0.625900               0.921361
     0.627000               0.918001
     0.628100               0.914671
     0.629200               0.911146
     0.630300               0.907208
     0.631400               0.902805
     0.632500               0.898114
     0.633600               0.893326
     0.634700               0.888633
     0.635800               0.884180
     0.636900               0.879879
     0.638000               0.875598
     0.639100               0.871211
     0.640200               0.866594
     0.641300               0.861779
     0.642400               0.856819
     0.643500               0.851715
     0.644600               0.846466
     0.645700               0.841030
     0.646800               0.835326
     0.647900               0.829497
     0.649000               0.823702
     0.650100               0.818100
     0.651200               0.812738
     0.652300               0.807513
     0.653400               0.802329
     0.654500               0.797092
     0.655600               0.791760
     0.656700               0.786494
     0.657800               0.781175
     0.658900               0.775644
     0.660000               0.769741
     0.661100               0.763303
     0.662200               0.756445
     0.663300               0.749421
     0.664400               0.742486
     0.665500               0.735877
     0.666600               0.729570
     0.667700               0.723371
     0.668800               0.717089
     0.669900               0.710532
     0.671000               0.703495
     0.672100               0.696072
     0.673200               0.688582
     0.674300               0.681343
     0.675400               0.674668
     0.676500               0.668622
     0.677600               0.662914
     0.678700               0.657226
     0.679800               0.651238
     0.680900               0.644730
     0.682000               0.637872
     0.683100               0.630888
     0.684200               0.624002
     0.685300               0.617430
     0.686400               0.611176
     0.687500               0.605099
     0.688600               0.599069
     0.689700               0.592961
     0.690800               0.586705
     0.691900               0.580394
     0.693000               0.574035
     0.694100               0.567628
     0.695200               0.561172
     0.696300               0.554668
     0.697400               0.548116
     0.698500               0.541515
     0.699600               0.534867
     0.700700               0.528145
     0.701800               0.521301
     0.702900               0.514420
     0.704000               0.507598
     0.705100               0.500930
     0.706200               0.494428
     0.707300               0.488036
     0.708400               0.481722
     0.709500               0.475455
     0.710600               0.469204
     0.711700               0.462971
     0.712800               0.456787
     0.713900               0.450684
     0.715000               0.444695
     0.716100               0.438858
     0.717200               0.433151
     0.718300               0.427509
     0.719400               0.421869
     0.720500               0.416169
     0.721600               0.410406
     0.722700               0.404638
     0.723800               0.398930
     0.724900               0.393346
     0.726000               0.387965
     0.727100               0.382758
     0.728200               0.377596
     0.729300               0.372354
     0.730400               0.366902
     0.731500               0.361192
     0.732600               0.355362
     0.733700               0.349570
     0.734800               0.343977
     0.735900               0.338658
     0.737000               0.333509
     0.738100               0.328495
     0.739200               0.323585
     0.740300               0.318750
     0.741400               0.314025
     0.742500               0.309404
     0.743600               0.304856
     0.744700               0.300349
     0.745800               0.295897
     0.746900               0.291561
     0.748000               0.287253
     0.749100               0.282877
     0.750200               0.278338
     0.751300               0.273544
     0.752400               0.268602
     0.753500               0.263669
     0.754600               0.258904
     0.755700               0.254421
     0.756800               0.250122
     0.757900               0.245963
     0.759000               0.241914
     0.760100               0.237942
     0.761200               0.234094
     0.762300               0.230370
     0.763400               0.226705
     0.764500               0.223036
     0.765600               0.219310
     0.766700               0.215549
     0.767800               0.211789
     0.768900               0.208062
     0.770000               0.204400
     0.771100               0.200786
     0.772200               0.197204
     0.773300               0.193685
     0.774400               0.190262
     0.775500               0.186975
     0.776600               0.183867
     0.777700               0.180862
     0.778800               0.177863
     0.779900               0.174776
     0.781000               0.171529
     0.782100               0.168175
     0.783200               0.164810
     0.784300               0.161531
     0.785400               0.158421
     0.786500               0.155434
     0.787600               0.152543
     0.788700               0.149748
     0.789800               0.147050
     0.790900               0.144528
     0.792000               0.142230
     0.793100               0.139972
     0.794200               0.137561
     0.795300               0.134800
     0.796400               0.131535
     0.797500               0.127999
     0.798600               0.124512
     0.799700               0.121391
     0.800800               0.118894
     0.801900               0.116888
     0.803000               0.115118
     0.804100               0.113329
     0.805200               0.111269
     0.806300               0.108913
     0.807400               0.106418
     0.808500               0.103911
     0.809600               0.101520
     0.810700              0.0993365
     0.811800              0.0972855
     0.812900              0.0953273
     0.814000              0.0934298
     0.815100              0.0915616
     0.816200              0.0897473
     0.817300              0.0879947
     0.818400              0.0862719
     0.819500              0.0845473
     0.820600              0.0828033
     0.821700              0.0810802
     0.822800              0.0793560
     0.823900              0.0775992
     0.825000              0.0757776
     0.826100              0.0738701
     0.827200              0.0718980
     0.828300              0.0698930
     0.829400              0.0678871
     0.830500              0.0658976
     0.831600              0.0638629
     0.832700              0.0618244
     0.833800              0.0598457
     0.834900              0.0579906
     0.836000              0.0563546
     0.837100              0.0549110
     0.838200              0.0535012
     0.839300              0.0519659
     0.840400              0.0501602
     0.841500              0.0481422
     0.842600              0.0459746
     0.843700              0.0436892
     0.844800              0.0413179
     0.845900              0.0388205
     0.847000              0.0361419
     0.848100              0.0334054
     0.849200              0.0307384
     0.850300              0.0282640
     0.851400              0.0259786
     0.852500              0.0238051
     0.853600              0.0216799
     0.854700              0.0195393
     0.855800              0.0172955
     0.856900              0.0149323
     0.858000              0.0126030
     0.859100              0.0104667
     0.860200             0.00868082
     0.861300             0.00727270
     0.862400             0.00613770
     0.863500             0.00518029
     0.864600             0.00430494
     0.865700             0.00344948
     0.866800             0.00268173
     0.867900             0.00201050
     0.869000             0.00143579
     0.870101            0.000957791
     0.871309            0.000597736
     0.872586            0.000347712
     0.873770            0.000175868
     0.874703            5.03515e-05
     0.875000                0.00000
     0.875000                0.00000
     0.875000                0.00000
     0.875000                0.00000
