Wavelength [microns]  Transmission [unitless]
      196.580             0.00169716
      196.799             0.00533126
      197.019             0.00509147
      197.239             0.00509147
      197.489             0.00509147
      197.722             0.00509147
      197.945             0.00509147
      198.166             0.00509147
      198.433             0.00509147
      198.654             0.00509147
      198.878             0.00509147
      199.129             0.00496752
      199.368             0.00689573
      199.594              0.0104106
      199.821              0.0101829
      200.058              0.0101829
      200.317              0.0101829
      200.544              0.0103184
      200.770              0.0139231
      201.042              0.0152751
      201.272              0.0164692
      201.502              0.0198775
      201.741              0.0256617
      202.007              0.0300559
      202.238              0.0341622
      202.470              0.0381860
      202.702              0.0422098
      202.981              0.0451545
      203.212              0.0502177
      203.447              0.0531427
      203.708              0.0567394
      203.960              0.0645742
      204.197              0.0681032
      204.434              0.0771924
      204.681              0.0844905
      204.953              0.0943348
      205.190               0.102690
      205.430               0.115125
      205.669               0.123598
      205.956               0.136230
      206.194               0.145901
      206.436               0.158037
      206.675               0.168664
      206.965               0.183770
      207.208               0.193145
      207.452               0.204692
      207.709               0.214616
      207.986               0.229699
      208.231               0.240561
      208.478               0.252707
      208.725               0.264757
      209.019               0.278623
      209.265               0.290458
      209.514               0.304699
      209.760               0.320422
      210.059               0.335250
      210.308               0.347909
      210.560               0.364218
      210.812               0.378667
      211.062               0.394603
      211.366               0.409612
      211.617               0.425587
      211.872               0.439933
      212.124               0.452523
      212.424               0.468755
      212.684               0.483788
      212.942               0.499555
      213.199               0.514146
      213.484               0.529475
      213.763               0.539512
      214.023               0.555772
      214.283               0.570007
      214.553               0.585403
      214.854               0.595315
      215.115               0.611854
      215.378               0.625509
      215.640               0.637395
      215.956               0.651325
      216.218               0.663131
      216.484               0.677099
      216.747               0.689168
      217.065               0.699382
      217.333               0.711356
      217.601               0.725031
      217.869               0.737245
      218.176               0.749545
      218.459               0.757939
      218.730               0.770975
      219.002               0.780390
      219.327               0.791209
      219.597               0.801004
      219.871               0.812589
      220.142               0.819591
      220.471               0.826941
      220.747               0.837564
      221.024               0.846264
      221.300               0.853602
      221.619               0.860832
      221.909               0.867868
      222.189               0.873508
      222.469               0.880825
      222.771               0.888908
      223.083               0.894089
      223.366               0.898999
      223.646               0.906350
      223.986               0.913711
      224.270               0.919936
      224.556               0.924637
      224.840               0.930207
      225.172               0.934031
      225.469               0.938949
      225.758               0.942254
      226.049               0.947112
      226.393               0.950256
      226.681               0.953531
      226.974               0.957340
      227.263               0.959668
      227.615               0.962348
      227.907               0.964122
      228.202               0.967363
      228.518               0.967054
      228.848               0.973267
      229.145               0.974168
      229.440               0.973791
      229.798               0.979432
      230.097               0.979260
      230.398               0.979088
      230.698               0.984728
      231.045               0.984351
      231.359               0.984284
      231.664               0.987528
      231.970               0.989443
      232.333               0.989443
      232.636               0.989267
      232.942               0.993483
      233.293               0.994588
      233.616               0.994534
      233.927               0.994534
      234.238               0.994472
      234.570               0.998774
      234.919               0.999653
      235.232               0.999626
      235.543               0.999626
      235.920               0.999626
      236.235               0.999626
      236.552               0.999626
      236.886               0.999626
      237.247               0.999626
      237.566               0.999626
      237.883               0.999626
      238.265               0.999626
      238.588               0.999626
      238.912               0.999626
      239.235               0.999626
      239.604               0.999626
      239.946               0.999626
      240.274               0.999626
      240.601               0.999626
      240.994               0.999626
      241.320               0.999626
      241.650               0.999626
      242.021               0.999626
      242.375               0.999626
      242.709               0.999626
      243.044               0.999626
      243.395               0.999626
      243.778               0.999626
      244.114               0.999626
      244.449               0.999626
      244.853               0.999626
      245.194               0.999626
      245.536               0.999626
      245.891               0.999626
      246.286               0.999626
      246.629               0.999626
      246.971               0.999626
      247.380               0.999626
      247.731               0.999626
      248.080               0.999626
      248.429               0.999626
      248.820               0.999626
      249.195               0.999626
      249.548               0.999626
      249.899               0.999626
      250.325               0.999626
      250.677                1.00000
      251.034               0.994298
      251.427               0.994534
      251.816               0.994534
      252.176               0.994534
      252.534               0.994534
      252.969               0.994534
      253.329               0.994534
      253.694               0.994534
      254.056               0.994534
      254.488               0.994534
      254.860               0.994534
      255.230               0.994534
      255.608               0.994534
      256.041               0.994534
      256.410               0.994534
      256.781               0.994534
      257.218               0.994534
      257.602               0.993446
      257.979               0.989266
      258.362               0.989443
      258.809               0.989443
      259.185               0.989443
      259.568               0.989443
      259.946               0.989443
      260.407               0.989443
      260.789               0.989443
      261.176               0.989443
      261.595               0.989540
      262.022               0.988039
      262.412               0.984102
      262.799               0.984351
      263.270               0.984351
      263.660               0.984351
      264.056               0.984351
      264.479               0.984514
      264.921               0.981511
      265.320               0.979142
      265.715               0.979260
      266.195               0.979260
      266.596               0.979260
      267.000               0.979375
      267.403               0.975098
      267.870               0.974131
      268.292               0.974168
      268.702               0.974168
      269.113               0.974133
      269.602               0.969097
      270.010               0.967351
      270.423               0.967428
      270.896               0.966370
      271.332               0.962131
      271.751               0.962402
      272.170               0.960692
      272.672               0.957101
      273.090               0.954427
      273.513               0.952056
      273.990               0.949949
      274.442               0.946855
      274.870               0.941889
      275.297               0.938759
      275.813               0.934524
      276.240               0.930967
      276.674               0.926299
      277.104               0.922949
      277.624               0.919859
      278.062               0.910552
      278.502               0.908212
      278.960               0.901564
      279.467               0.894209
      279.908               0.888886
      280.349               0.879790
      280.877               0.870942
      281.329               0.862746
      281.774               0.850446
      282.315               0.838654
      282.764               0.828119
      283.219               0.816072
      283.711               0.805844
      284.214               0.794996
      284.673               0.783783
      285.128               0.770462
      285.683               0.754894
      286.143               0.731432
      286.608               0.708104
      287.164               0.676270
      287.627               0.642511
      288.114               0.605948
      288.657               0.565836
      289.127               0.527341
      289.645               0.488781
      290.165               0.450222
      290.640               0.410244
      291.193               0.365278
      291.691               0.323627
      292.169               0.278348
      292.748               0.238791
      293.234               0.205530
      293.719               0.177393
      294.307               0.151215
      294.794               0.128297
      295.295               0.108675
      295.877              0.0901122
      296.370              0.0750810
      296.866              0.0611437
      297.446              0.0492177
      297.963              0.0376873
      298.468              0.0306847
      298.978              0.0235144
      299.579              0.0180322
      300.084              0.0104859
      300.593             0.00928889
      301.182             0.00536948
      301.717             0.00512796
      302.261             0.00305668
