Wavelength [microns]  Transmission [unitless]
     0.160000             0.00678300
     0.161403             0.00881693
     0.163064              0.0110583
     0.164961              0.0135158
     0.167069              0.0161983
     0.169367              0.0191145
     0.171831              0.0222733
     0.174439              0.0256835
     0.177167              0.0293538
     0.179994              0.0332930
     0.182895              0.0375099
     0.185849              0.0420133
     0.188831              0.0468120
     0.191821              0.0519147
     0.194793              0.0573304
     0.197727              0.0630676
     0.200602              0.0691452
     0.203507              0.0758444
     0.206482              0.0832202
     0.209521              0.0911775
     0.212616              0.0996211
     0.215759               0.108456
     0.218943               0.117587
     0.222159               0.126919
     0.225401               0.136357
     0.228660               0.145805
     0.231930               0.155170
     0.235201               0.164355
     0.238468               0.173265
     0.241722               0.181805
     0.244955               0.189881
     0.248160               0.197397
     0.251333               0.204273
     0.254500               0.210597
     0.257667               0.216455
     0.260833               0.221914
     0.264000               0.227041
     0.267167               0.231902
     0.270333               0.236564
     0.273500               0.241094
     0.276667               0.245558
     0.279833               0.250024
     0.283000               0.254557
     0.286167               0.259225
     0.289333               0.264093
     0.292500               0.269230
     0.295667               0.274701
     0.298833               0.280573
     0.302000               0.286726
     0.305167               0.292555
     0.308333               0.298111
     0.311500               0.303508
     0.314667               0.308860
     0.317833               0.314282
     0.321000               0.319887
     0.324167               0.325790
     0.327333               0.332105
     0.330500               0.338946
     0.333667               0.346428
     0.336833               0.354664
     0.340000               0.363770
     0.343167               0.373858
     0.346333               0.385045
     0.349500               0.397443
     0.352667               0.411302
     0.355833               0.426799
     0.359000               0.443735
     0.362167               0.461907
     0.365333               0.481111
     0.368500               0.501143
     0.371667               0.521801
     0.374833               0.542879
     0.378000               0.564175
     0.381167               0.585486
     0.384333               0.606606
     0.387500               0.627332
     0.390667               0.647462
     0.393833               0.666790
     0.397000               0.685114
     0.400167               0.702232
     0.403333               0.718736
     0.406500               0.735172
     0.409667               0.751478
     0.412833               0.767592
     0.416000               0.783452
     0.419167               0.798996
     0.422333               0.814161
     0.425500               0.828887
     0.428667               0.843110
     0.431833               0.856769
     0.435000               0.869801
     0.438167               0.882145
     0.441333               0.893739
     0.444500               0.904520
     0.447667               0.914427
     0.450833               0.923392
     0.454000               0.931270
     0.457167               0.938097
     0.460333               0.943973
     0.463500               0.948995
     0.466667               0.953263
     0.469833               0.956875
     0.473000               0.959930
     0.476167               0.962527
     0.479333               0.964765
     0.482500               0.966742
     0.485667               0.968556
     0.488833               0.970308
     0.492000               0.972095
     0.495167               0.974016
     0.498333               0.976170
     0.501500               0.978597
     0.504667               0.980968
     0.507833               0.983213
     0.511000               0.985329
     0.514167               0.987313
     0.517333               0.989164
     0.520500               0.990878
     0.523667               0.992453
     0.526833               0.993886
     0.530000               0.995175
     0.533167               0.996317
     0.536333               0.997309
     0.539500               0.998149
     0.542667               0.998835
     0.545833               0.999363
     0.549000               0.999732
     0.552167               0.999941
     0.555333                1.00000
     0.558500               0.999909
     0.561667               0.999669
     0.564833               0.999279
     0.568000               0.998740
     0.571167               0.998051
     0.574333               0.997212
     0.577500               0.996224
     0.580667               0.995086
     0.583833               0.993798
     0.587000               0.992361
     0.590167               0.990773
     0.593333               0.989037
     0.596500               0.987151
     0.599667               0.985115
     0.602833               0.982955
     0.606000               0.980701
     0.609167               0.978342
     0.612333               0.975863
     0.615500               0.973253
     0.618667               0.970497
     0.621833               0.967584
     0.625000               0.964500
     0.628167               0.961233
     0.631333               0.957769
     0.634500               0.954095
     0.637667               0.950199
     0.640833               0.946067
     0.644000               0.941688
     0.647167               0.937047
     0.650333               0.932131
     0.653500               0.926883
     0.656667               0.921290
     0.659833               0.915384
     0.663000               0.909194
     0.666167               0.902751
     0.669333               0.896085
     0.672500               0.889227
     0.675667               0.882208
     0.678833               0.875058
     0.682000               0.867808
     0.685167               0.860487
     0.688333               0.853127
     0.691500               0.845758
     0.694667               0.838411
     0.697833               0.831115
     0.701000               0.823902
     0.704167               0.816773
     0.707333               0.809701
     0.710500               0.802658
     0.713667               0.795614
     0.716833               0.788540
     0.720000               0.781407
     0.723167               0.774187
     0.726333               0.766850
     0.729500               0.759368
     0.732667               0.751711
     0.735833               0.743851
     0.739000               0.735759
     0.742167               0.727405
     0.745333               0.718761
     0.748500               0.709798
     0.751667               0.700451
     0.754833               0.690546
     0.758000               0.680130
     0.761167               0.669283
     0.764333               0.658087
     0.767500               0.646622
     0.770667               0.634969
     0.773833               0.623208
     0.777000               0.611420
     0.780167               0.599686
     0.783333               0.588086
     0.786500               0.576701
     0.789667               0.565612
     0.792833               0.554899
     0.796000               0.544642
     0.799167               0.534924
     0.802333               0.525676
     0.805500               0.516572
     0.808667               0.507614
     0.811833               0.498821
     0.815000               0.490213
     0.818167               0.481810
     0.821333               0.473631
     0.824500               0.465695
     0.827667               0.458024
     0.830833               0.450635
     0.834000               0.443549
     0.837167               0.436786
     0.840333               0.430365
     0.843500               0.424306
     0.846667               0.418628
     0.849833               0.413351
     0.853000               0.408602
     0.856167               0.404474
     0.859333               0.400897
     0.862500               0.397802
     0.865667               0.395117
     0.868833               0.392773
     0.872000               0.390699
     0.875167               0.388826
     0.878333               0.387081
     0.881500               0.385396
     0.884667               0.383700
     0.887833               0.381923
     0.891000               0.379994
     0.894167               0.377844
     0.897333               0.375401
     0.900500               0.372604
     0.903667               0.369812
     0.906833               0.367207
     0.910000               0.364730
     0.913167               0.362323
     0.916333               0.359929
     0.919500               0.357488
     0.922667               0.354945
     0.925833               0.352240
     0.929000               0.349315
     0.932167               0.346114
     0.935333               0.342577
     0.938500               0.338647
     0.941667               0.334267
     0.944833               0.329378
     0.948000               0.323922
     0.951167               0.317836
     0.954333               0.311053
     0.957500               0.303624
     0.960667               0.295622
     0.963833               0.287123
     0.967000               0.278201
     0.970167               0.268931
     0.973333               0.259386
     0.976500               0.249642
     0.979667               0.239772
     0.982833               0.229852
     0.986000               0.219955
     0.989167               0.210156
     0.992333               0.200530
     0.995500               0.191151
     0.998667               0.182093
      1.00187               0.173282
      1.00523               0.164143
      1.00872               0.154690
      1.01233               0.145020
      1.01599               0.135225
      1.01968               0.125400
      1.02337               0.115641
      1.02700               0.106042
      1.03054              0.0966975
      1.03395              0.0877018
      1.03720              0.0791497
      1.04025              0.0711359
      1.04306              0.0637549
      1.04559              0.0571014
      1.04780              0.0512701
      1.04966              0.0463552
      1.05000              0.0454461
      1.05000              0.0454461
      1.05000              0.0454461
      1.05000              0.0454461
      1.05000              0.0454461
      1.05000              0.0454461
      1.05000              0.0454461
      1.05000              0.0454461
      1.05000              0.0454461
