Wavelength [microns]  Transmission [unitless]
     0.294100                0.00000
     0.294341            0.000405515
     0.294645            0.000877718
     0.295003             0.00141268
     0.295406             0.00200648
     0.295844             0.00265520
     0.296310             0.00335490
     0.296793             0.00410166
     0.297284             0.00489155
     0.297776             0.00572066
     0.298257             0.00658505
     0.298721             0.00748080
     0.299156             0.00840399
     0.299555             0.00935069
     0.299909              0.0103170
     0.300211              0.0112400
     0.300469              0.0119823
     0.300692              0.0125890
     0.300886              0.0131155
     0.301059              0.0136173
     0.301217              0.0141496
     0.301367              0.0147679
     0.301517              0.0155276
     0.301674              0.0164840
     0.301845              0.0176926
     0.302037              0.0192087
     0.302256              0.0210878
     0.302511              0.0233852
     0.302808              0.0261562
     0.303156              0.0294742
     0.303558              0.0334856
     0.304010              0.0381298
     0.304501              0.0433060
     0.305024              0.0489136
     0.305569              0.0548518
     0.306128              0.0610198
     0.306692              0.0673168
     0.307253              0.0736422
     0.307801              0.0798952
     0.308327              0.0859749
     0.308824              0.0917808
     0.309282              0.0972120
     0.309693               0.102168
     0.310047               0.106546
     0.310338               0.110182
     0.310571               0.113121
     0.310757               0.115505
     0.310905               0.117475
     0.311024               0.119175
     0.311126               0.120747
     0.311219               0.122332
     0.311313               0.124073
     0.311418               0.126111
     0.311544               0.128590
     0.311700               0.131651
     0.311897               0.135437
     0.312144               0.140089
     0.312451               0.145751
     0.312826               0.152640
     0.313265               0.160829
     0.313758               0.170114
     0.314296               0.180288
     0.314867               0.191144
     0.315461               0.202474
     0.316069               0.214072
     0.316680               0.225730
     0.317284               0.237240
     0.317871               0.248397
     0.318430               0.258993
     0.318952               0.268820
     0.319426               0.277672
     0.319842               0.285341
     0.320191               0.291624
     0.320474               0.296512
     0.320701               0.300212
     0.320882               0.302942
     0.321027               0.304921
     0.321147               0.306365
     0.321250               0.307494
     0.321348               0.308526
     0.321450               0.309677
     0.321565               0.311168
     0.321705               0.313214
     0.321878               0.316036
     0.322096               0.319850
     0.322368               0.324875
     0.322703               0.331324
     0.323102               0.339213
     0.323557               0.348345
     0.324058               0.358521
     0.324596               0.369539
     0.325162               0.381198
     0.325747               0.393299
     0.326341               0.405640
     0.326936               0.418021
     0.327522               0.430242
     0.328090               0.442101
     0.328631               0.453398
     0.329136               0.463932
     0.329595               0.473503
     0.330000               0.481910
     0.330347               0.489093
     0.330646               0.495237
     0.330902               0.500510
     0.331126               0.505078
     0.331323               0.509109
     0.331502               0.512771
     0.331670               0.516231
     0.331836               0.519657
     0.332006               0.523216
     0.332189               0.527076
     0.332393               0.531403
     0.332624               0.536367
     0.332891               0.542133
     0.333202               0.548870
     0.333561               0.556720
     0.333958               0.565618
     0.334389               0.575401
     0.334847               0.585907
     0.335328               0.596972
     0.335826               0.608433
     0.336336               0.620127
     0.336851               0.631891
     0.337367               0.643562
     0.337878               0.654976
     0.338379               0.665971
     0.338864               0.676384
     0.339327               0.686051
     0.339764               0.694808
     0.340171               0.702528
     0.340555               0.709404
     0.340922               0.715576
     0.341275               0.721138
     0.341615               0.726187
     0.341945               0.730815
     0.342267               0.735118
     0.342584               0.739190
     0.342898               0.743126
     0.343211               0.747021
     0.343526               0.750970
     0.343845               0.755066
     0.344170               0.759405
     0.344505               0.764081
     0.344850               0.769185
     0.345197               0.774569
     0.345540               0.780095
     0.345881               0.785742
     0.346222               0.791488
     0.346564               0.797309
     0.346908               0.803184
     0.347256               0.809091
     0.347610               0.815008
     0.347971               0.820911
     0.348341               0.826779
     0.348721               0.832590
     0.349113               0.838321
     0.349518               0.843951
     0.349939               0.849456
     0.350383               0.854912
