Wavelength [microns]  Transmission [unitless]
     0.305000                0.00000
     0.305765             0.00236084
     0.306855             0.00540928
     0.308109             0.00968782
     0.309368              0.0157390
     0.310500              0.0241738
     0.311600              0.0354338
     0.312700              0.0485525
     0.313800              0.0623810
     0.314900              0.0757705
     0.316000              0.0882753
     0.317100               0.100630
     0.318200               0.113159
     0.319300               0.126181
     0.320400               0.139987
     0.321500               0.154460
     0.322600               0.169474
     0.323700               0.184967
     0.324800               0.200873
     0.325900               0.216955
     0.327000               0.233128
     0.328100               0.249892
     0.329200               0.267755
     0.330300               0.287233
     0.331400               0.308589
     0.332500               0.331307
     0.333600               0.354751
     0.334700               0.378282
     0.335800               0.401623
     0.336900               0.425312
     0.338000               0.449201
     0.339100               0.473100
     0.340200               0.496823
     0.341300               0.520442
     0.342400               0.544023
     0.343500               0.567534
     0.344600               0.590944
     0.345700               0.614130
     0.346800               0.636922
     0.347900               0.659663
     0.349000               0.682737
     0.350100               0.706533
     0.351200               0.731971
     0.352300               0.758502
     0.353400               0.784689
     0.354500               0.809097
     0.355600               0.830563
     0.356700               0.849778
     0.357800               0.867314
     0.358900               0.883619
     0.360000               0.899138
     0.361100               0.913981
     0.362200               0.927874
     0.363300               0.940690
     0.364400               0.952301
     0.365500               0.962611
     0.366600               0.971738
     0.367700               0.979660
     0.368800               0.986313
     0.369900               0.991633
     0.371000               0.995685
     0.372100               0.998527
     0.373200                1.00000
     0.374300               0.999945
     0.375400               0.998420
     0.376500               0.997046
     0.377600               0.994453
     0.378700               0.988471
     0.379800               0.976931
     0.380900               0.958695
     0.382000               0.935143
     0.383100               0.906950
     0.384200               0.874752
     0.385300               0.839084
     0.386400               0.798769
     0.387500               0.754277
     0.388600               0.706883
     0.389700               0.657865
     0.390800               0.606745
     0.391900               0.551249
     0.393000               0.494550
     0.394100               0.440094
     0.395200               0.391231
     0.396300               0.346831
     0.397400               0.305602
     0.398500               0.267894
     0.399600               0.234061
     0.400700               0.204741
     0.401800               0.180478
     0.402900               0.159846
     0.404000               0.141281
     0.405100               0.123231
     0.406200               0.106149
     0.407300              0.0907069
     0.408400              0.0764584
