Wavelength [microns]  Transmission [unitless]
     0.476200                0.00000
     0.476486            0.000389573
     0.476837            0.000709297
     0.477254             0.00108889
     0.477740             0.00165808
     0.478296             0.00254657
     0.478923             0.00388409
     0.479623             0.00580035
     0.480415             0.00845533
     0.481394              0.0120171
     0.482511              0.0162798
     0.483700              0.0209916
     0.484891              0.0259005
     0.486017              0.0307544
     0.487010              0.0353016
     0.487800              0.0392899
     0.488314              0.0406922
     0.488585              0.0389612
     0.488709              0.0360653
     0.488781              0.0339727
     0.488896              0.0346515
     0.489150              0.0400701
     0.489638              0.0521966
     0.490440              0.0728534
     0.491501               0.101738
     0.492756               0.137112
     0.494149               0.177225
     0.495626               0.220329
     0.497130               0.264676
     0.498607               0.308516
     0.500000               0.350101
     0.501389               0.392097
     0.502854               0.437145
     0.504346               0.483454
     0.505811               0.529237
     0.507200               0.572705
     0.508461               0.612069
     0.509542               0.645542
     0.510387               0.671317
     0.510950               0.688965
     0.511304               0.700410
     0.511529               0.707751
     0.511709               0.713089
     0.511926               0.718525
     0.512262               0.726158
     0.512800               0.738089
     0.513547               0.754295
     0.514428               0.772826
     0.515406               0.792898
     0.516444               0.813725
     0.517504               0.834521
     0.518547               0.854499
     0.519537               0.872875
     0.520451               0.889186
     0.521359               0.904804
     0.522263               0.919818
     0.523151               0.934014
     0.524010               0.947181
     0.524830               0.959108
     0.525597               0.969581
     0.526300               0.978389
     0.526875               0.985282
     0.527309               0.990361
     0.527665               0.993936
     0.528006               0.996321
     0.528396               0.997826
     0.528898               0.998763
     0.529576               0.999445
     0.530503                1.00000
     0.531749               0.999625
     0.533219               0.998410
     0.534800               0.996629
     0.536382               0.994551
     0.537850               0.992450
     0.539094               0.990597
     0.540000               0.989264
     0.540473               0.988848
     0.540580               0.989252
     0.540452               0.990005
     0.540221               0.990633
     0.540018               0.990667
     0.539976               0.989634
     0.540225               0.987063
     0.540879               0.982484
     0.541880               0.975807
     0.543130               0.967527
     0.544539               0.958180
     0.546020               0.948304
     0.547483               0.938434
     0.548839               0.929106
     0.550000               0.920857
     0.550991               0.913521
     0.551903               0.906537
     0.552748               0.899854
     0.553536               0.893419
     0.554278               0.887180
     0.554984               0.881085
     0.555665               0.875080
     0.556312               0.869297
     0.556832               0.864586
     0.557259               0.860584
     0.557651               0.856726
     0.558064               0.852445
     0.558555               0.847175
     0.559182               0.840349
     0.560000               0.831402
     0.561099               0.819316
     0.562461               0.804220
     0.563981               0.787274
     0.565556               0.769634
     0.567082               0.752459
     0.568454               0.736905
     0.569571               0.724129
     0.570328               0.715247
     0.570715               0.710277
     0.570837               0.708102
     0.570806               0.707548
     0.570734               0.707443
     0.570735               0.706614
     0.570919               0.703890
     0.571400               0.698097
     0.572189               0.688973
     0.573187               0.677500
     0.574341               0.664370
     0.575595               0.650277
     0.576896               0.635914
     0.578190               0.621976
     0.579423               0.609155
     0.580572               0.597893
     0.581768               0.587137
     0.583000               0.576733
     0.584225               0.566752
     0.585400               0.557268
     0.586483               0.548353
     0.587430               0.540079
     0.588200               0.532519
     0.588697               0.526552
     0.588925               0.522451
     0.588987               0.519376
     0.588987               0.516485
     0.589030               0.512938
     0.589218               0.507895
     0.589655               0.500514
     0.590437               0.489910
     0.591539               0.475705
     0.592874               0.458889
     0.594355               0.440576
     0.595894               0.421881
     0.597406               0.403920
     0.598804               0.387807
     0.600000               0.374657
     0.601016               0.364558
     0.601939               0.356513
     0.602784               0.350014
     0.603565               0.344551
     0.604296               0.339616
     0.604992               0.334699
     0.605666               0.329293
     0.606312               0.323126
     0.606832               0.317229
     0.607259               0.311591
     0.607651               0.305971
     0.608064               0.300130
     0.608555               0.293829
     0.609182               0.286828
     0.610000               0.278888
     0.611071               0.269495
     0.612367               0.258673
     0.613808               0.246987
     0.615317               0.235005
     0.616815               0.223292
     0.618224               0.212415
     0.619466               0.202940
     0.620479               0.195336
     0.621320               0.189257
     0.622037               0.184327
     0.622665               0.180234
     0.623240               0.176661
     0.623797               0.173296
     0.624372               0.169824
     0.625000               0.165930
     0.625628               0.161904
     0.626203               0.158150
     0.626760               0.154519
     0.627335               0.150864
     0.627963               0.147038
     0.628680               0.142895
     0.629521               0.138286
     0.630531               0.133025
     0.631757               0.126901
     0.633141               0.120156
     0.634614               0.113094
     0.636106               0.106015
     0.637547              0.0992223
     0.638869              0.0930168
     0.640000              0.0877006
     0.640937              0.0832182
     0.641741              0.0792697
     0.642445              0.0757902
     0.643079              0.0727148
     0.643674              0.0699786
     0.644262              0.0675169
     0.644875              0.0652647
     0.645521              0.0632304
     0.646102              0.0617469
     0.646637              0.0607149
     0.647165              0.0599572
     0.647725              0.0592969
     0.648358              0.0585567
     0.649103              0.0575596
     0.650000              0.0561284
     0.651098              0.0541586
     0.652380              0.0517735
     0.653784              0.0491376
     0.655250              0.0464157
     0.656719              0.0437724
     0.658128              0.0413723
     0.659418              0.0393800
     0.660550              0.0379389
     0.661606              0.0369802
     0.662604              0.0363795
     0.663543              0.0360221
     0.664423              0.0357931
     0.665243              0.0355778
     0.666002              0.0352615
     0.666700              0.0347295
     0.667259              0.0340159
     0.667649              0.0332400
     0.667943              0.0324142
     0.668213              0.0315509
     0.668530              0.0306627
     0.668966              0.0297621
     0.669593              0.0288614
     0.670473              0.0279618
     0.671576              0.0270118
     0.672848              0.0260243
     0.674239              0.0250244
     0.675700              0.0240370
     0.677180              0.0230870
     0.678630              0.0221993
     0.680000              0.0213990
     0.681381              0.0206755
     0.682853              0.0200020
     0.684353              0.0193783
     0.685815              0.0188046
     0.687174              0.0182807
     0.688366              0.0178067
     0.689327              0.0173827
     0.689973              0.0170223
     0.690206              0.0167908
     0.690137              0.0166566
     0.689901              0.0165723
     0.689633              0.0164905
     0.689470              0.0163638
     0.689547              0.0161448
     0.690000              0.0157861
     0.690848              0.0152642
     0.691971              0.0146139
     0.693302              0.0138749
     0.694770              0.0130874
     0.696307              0.0122911
     0.697845              0.0115260
     0.699313              0.0108320
     0.700667              0.0102378
     0.702000             0.00969899
     0.703333             0.00919882
     0.704667             0.00872984
     0.706000             0.00828455
     0.707333             0.00785549
     0.708667             0.00743514
     0.710000             0.00701605
     0.711333             0.00660132
     0.712667             0.00619906
     0.714000             0.00580929
     0.715333             0.00543198
     0.716667             0.00506715
     0.718000             0.00471478
     0.719333             0.00437490
     0.720665             0.00404893
     0.721989             0.00374377
     0.723307             0.00345605
     0.724626             0.00318082
     0.725950             0.00291306
     0.727283             0.00264781
     0.728632             0.00238005
     0.730000             0.00210481
     0.731474             0.00180796
     0.733082             0.00148864
     0.734743             0.00116185
     0.736376            0.000842543
     0.737900            0.000545691
     0.739234            0.000286250
     0.740296            7.92028e-05
     0.740700                0.00000
     0.740700                0.00000
     0.740700                0.00000
     0.740700                0.00000
     0.740700                0.00000
     0.740700                0.00000
     0.740700                0.00000
