Wavelength [microns]  Transmission [unitless]
     0.475000                0.00000
     0.475765             0.00413438
     0.476855             0.00981768
     0.478109              0.0168584
     0.479368              0.0250652
     0.480500              0.0342751
     0.481600              0.0445814
     0.482700              0.0560461
     0.483800              0.0687009
     0.484900              0.0825779
     0.486000              0.0971415
     0.487100               0.112263
     0.488200               0.129021
     0.489300               0.148500
     0.490400               0.171784
     0.491500               0.199230
     0.492600               0.229722
     0.493700               0.261983
     0.494800               0.294737
     0.495900               0.327525
     0.497000               0.361286
     0.498100               0.395927
     0.499200               0.431321
     0.500300               0.467409
     0.501400               0.505097
     0.502500               0.543797
     0.503600               0.582327
     0.504700               0.619508
     0.505800               0.654846
     0.506900               0.689361
     0.508000               0.722724
     0.509100               0.754521
     0.510200               0.784354
     0.511300               0.812509
     0.512400               0.839058
     0.513500               0.863745
     0.514600               0.886314
     0.515700               0.906592
     0.516800               0.924742
     0.517900               0.940818
     0.519000               0.954851
     0.520100               0.966869
     0.521200               0.976551
     0.522300               0.984000
     0.523400               0.989693
     0.524500               0.994111
     0.525600               0.997534
     0.526700               0.999414
     0.527800                1.00000
     0.528900               0.999675
     0.530000               0.998823
     0.531100               0.997528
     0.532200               0.995557
     0.533300               0.992815
     0.534400               0.989206
     0.535500               0.984609
     0.536600               0.978891
     0.537700               0.972286
     0.538800               0.965080
     0.539900               0.957561
     0.541000               0.949705
     0.542100               0.941300
     0.543200               0.932535
     0.544300               0.923603
     0.545400               0.914711
     0.546500               0.906057
     0.547600               0.897321
     0.548700               0.888087
     0.549800               0.877943
     0.550900               0.866454
     0.552000               0.853754
     0.553100               0.840474
     0.554200               0.827251
     0.555300               0.814694
     0.556400               0.802644
     0.557500               0.790818
     0.558600               0.779089
     0.559700               0.767329
     0.560800               0.755470
     0.561900               0.743604
     0.563000               0.731738
     0.564100               0.719872
     0.565200               0.708006
     0.566300               0.696165
     0.567400               0.684333
     0.568500               0.672481
     0.569600               0.660575
     0.570700               0.648604
     0.571800               0.636606
     0.572900               0.624556
     0.574000               0.612422
     0.575100               0.600172
     0.576200               0.587766
     0.577300               0.575236
     0.578400               0.562647
     0.579500               0.550061
     0.580600               0.537508
     0.581700               0.524887
     0.582800               0.512269
     0.583900               0.499750
     0.585000               0.487426
     0.586100               0.475246
     0.587200               0.463162
     0.588300               0.451269
     0.589400               0.439664
     0.590500               0.428483
     0.591600               0.417947
     0.592700               0.407726
     0.593800               0.397406
     0.594900               0.386570
     0.596000               0.374798
     0.597100               0.362303
     0.598200               0.349720
     0.599300               0.337688
     0.600400               0.326806
     0.601500               0.316976
     0.602600               0.307824
     0.603700               0.299029
     0.604800               0.290273
     0.605900               0.281427
     0.607000               0.272719
     0.608100               0.264155
     0.609200               0.255737
     0.610300               0.247464
     0.611400               0.239336
     0.612500               0.231352
     0.613600               0.223514
     0.614700               0.215821
     0.615800               0.208273
     0.616900               0.200870
     0.618000               0.193612
     0.619100               0.186499
     0.620200               0.179534
     0.621300               0.172808
     0.622400               0.166269
     0.623500               0.159791
     0.624600               0.153244
     0.625700               0.146505
     0.626800               0.139583
     0.627900               0.132632
     0.629000               0.125812
     0.630100               0.119280
     0.631200               0.113044
     0.632300               0.107014
     0.633400               0.101160
     0.634500              0.0954480
     0.635600              0.0898367
     0.636700              0.0842896
     0.637800              0.0788904
     0.638900              0.0737350
     0.640000              0.0689188
     0.641100              0.0645058
     0.642200              0.0604322
     0.643300              0.0566023
     0.644400              0.0529202
     0.645500              0.0492934
