Filter_Name  Central_Wavelength [microns]  Zero-Point-Flux [Jy]  File
STIS_50CCD      0.585      0.00000      STIS_50CCD.txt
U      0.36      1823.04      U.txt
B      0.44      4130.13      B.txt
V      0.55      3781.25      V.txt
R      0.70      2858.33      R.txt
I      0.90      2268.00      I.txt
U3      0.36      1880.00      U3.txt
B2      0.43      4440.00      B2.txt
B3      0.43      4440.00      B3.txt
V1      0.55      3810.00      V1.txt
Rc      0.64      2999.64      Rc.txt
Ic      0.79      2517.20      Ic.txt
J      1.25      1603.00      J.txt
H      1.6      1075.00      H.txt
K      2.22      667.000      K.txt
L      3.54      288.000      L.txt
Lp      3.54      288.000      Lp.txt
M      4.8      170.000      M.txt
J_2MASS      1.235      1594.00      J_2MASS.txt
H_2MASS      1.662      1024.00      H_2MASS.txt
Ks_2MASS      2.159      666.700      Ks_2MASS.txt
3.6_IRAC      3.6      280.000      3.6_IRAC.txt
4.5_IRAC      4.5      182.000      4.5_IRAC.txt
5.8_IRAC      5.8      110.000      5.8_IRAC.txt
8_IRAC      8.      60.6000      8_IRAC.txt
24_MIPS      24.      0.00000      24_MIPS.txt
70_MIPS      70.      0.00000      70_MIPS.txt
160_MIPS      160.      0.00000      160_MIPS.txt
PACS1      70.      0.00000      PACS1.txt
PACS2      100.      0.00000      PACS2.txt
PACS3      160.      0.00000      PACS3.txt
SPIRE1      250.      0.00000      SPIRE1.txt
SPIRE2      360.      0.00000      SPIRE2.txt
SPIRE3      520.      0.00000      SPIRE3.txt
