Pyroxene Minerals (crystalline) (Jäger et al. 1998) :Enstatite (parallel to c-axis) from : http://www.astro.uni-jena.de/Laboratory/Database/data/silicate/ens_p.lnk808 linesmicrons    n               k

Wavelength [microns]  Re(m)       Im(m)
      2.00000       1.4923500    0.0131700
      2.50000       1.4778600    0.0166200
      3.00000       1.4684800    0.0193400
      3.50000       1.4584600    0.0232300
      4.00000       1.4482900    0.0266400
      4.50000       1.4311301    0.0325900
      5.00000       1.4135100    0.0371400
      5.50000       1.3936599    0.0421000
      6.00000       1.3665000    0.0481400
      6.20000       1.3554500    0.0496200
      6.40000       1.3433100    0.0505900
      6.60000       1.3306100    0.0520700
      6.80000       1.3169100    0.0533600
      7.00000       1.3034900    0.0547100
      7.10000       1.2884500    0.0543600
      7.20000       1.2807800    0.0559100
      7.30000       1.2672300    0.0567700
      7.40000       1.2554600    0.0581200
      7.50000       1.2485400    0.0604900
      7.60000       1.2296400    0.0662500
      7.70000       1.2227300    0.0674600
      7.80000       1.2064000    0.0673300
      7.90000       1.1979100    0.0634800
      8.00117       1.1716700    0.0686000
      8.01056       1.1690500    0.0704000
      8.01998       1.1658300    0.0732600
      8.02941       1.1704500    0.0743400
      8.03887       1.1657300    0.0695900
      8.04835       1.1640300    0.0739100
      8.05785       1.1643000    0.0711600
      8.06738       1.1587400    0.0724300
      8.07692       1.1637100    0.0777000
      8.08649       1.1640900    0.0615300
      8.09609       1.1424600    0.0688500
      8.10570       1.1543000    0.0825600
      8.11534       1.1530700    0.0742000
      8.12500       1.1599000    0.0777700
      8.13468       1.1521000    0.0606500
      8.14439       1.1430399    0.0719300
      8.15412       1.1457200    0.0646300
      8.16388       1.1317101    0.0699100
      8.17365       1.1360800    0.0782800
      8.18345       1.1388500    0.0774600
      8.19328       1.1403600    0.0735900
      8.20313       1.1381000    0.0695100
      8.21300       1.1313900    0.0630500
      8.22289       1.1208200    0.0676800
      8.23281       1.1199501    0.0706300
      8.24275       1.1131001    0.0749800
      8.25272       1.1192300    0.0824300
      8.26271       1.1211600    0.0740900
      8.27273       1.1146600    0.0737700
      8.28277       1.1130000    0.0740300
      8.29283       1.1102999    0.0735700
      8.30292       1.1064200    0.0711400
      8.31303       1.1002001    0.0753500
      8.32317       1.1040900    0.0740700
      8.33333       1.0913800    0.0712600
      8.34352       1.0958200    0.0851400
      8.35373       1.0985900    0.0666700
      8.36397       1.0794400    0.0744600
      8.37423       1.0900300    0.0789100
      8.38452       1.0766799    0.0725900
      8.39483       1.0819900    0.0892800
      8.40517       1.0905100    0.0695600
      8.41554       1.0777100    0.0679200
      8.42593       1.0762000    0.0542000
      8.43634       1.0465800    0.0518500
      8.44678       1.0351400    0.0721100
      8.45725       1.0346200    0.0800100
      8.46774       1.0379300    0.0941500
      8.47826       1.0466700    0.0824900
      8.48881       1.0319200    0.0843400
      8.49938       1.0362999    0.0886400
      8.50998       1.0306700    0.0853600
      8.52060       1.0283300    0.0822600
      8.53125       1.0110300    0.0838800
      8.54193       1.0172400     0.103230
      8.55263       1.0249400    0.0851800
      8.56336       1.0087500    0.0804900
      8.57412       1.0008500    0.0821900
      8.58491      0.98961997    0.0811000
      8.59572      0.97614998    0.0915400
      8.60656      0.98677999    0.0996000
      8.61742      0.97815001    0.0803400
      8.62832      0.95471001    0.0880000
      8.63924      0.95447999    0.0926800
      8.65019      0.93515998    0.0910100
      8.66117      0.92736000     0.106160
      8.67217      0.92036998     0.104290
      8.68321      0.90448999     0.112920
      8.69427      0.89845002     0.120950
      8.70536      0.88757002     0.121890
      8.71647      0.86783999     0.125730
      8.72762      0.84573001     0.139180
      8.73880      0.82936001     0.157200
      8.75000      0.81023997     0.169680
      8.76123      0.77709001     0.195330
      8.77249      0.75313997     0.239210
      8.78378      0.73106998     0.295520
      8.79510      0.73241001     0.376660
      8.80645      0.76743001     0.463480
      8.81783      0.85364002     0.536140
      8.82924      0.96100003     0.557780
      8.84067       1.0683200     0.528070
      8.85214       1.1334100     0.461380
      8.86364       1.1657000     0.386640
      8.87516       1.1587700     0.322540
      8.88672       1.1406900     0.280380
      8.89830       1.1172100     0.258870
      8.90992       1.1098100     0.245940
      8.92157       1.0976800     0.226110
      8.93325       1.0855401     0.216400
      8.94495       1.0775501     0.202090
      8.95669       1.0598700     0.188550
      8.96846       1.0434700     0.187720
      8.98026       1.0342400     0.182780
      8.99210       1.0178500     0.189080
      9.00396       1.0395800     0.190650
      9.01585       1.0240901     0.145530
      9.02778      0.98085999     0.146890
      9.03974      0.96915001     0.160140
      9.05172      0.95166999     0.164330
      9.06374      0.94765002     0.180480
      9.07580      0.94705999     0.178280
      9.08788      0.93926001     0.178330
      9.10000      0.92943001     0.178960
      9.11215      0.92439997     0.182330
      9.12433      0.91184998     0.179840
      9.13655      0.90644997     0.193540
      9.14879      0.90766001     0.182860
      9.16107      0.88423002     0.187270
      9.17339      0.88937002     0.200010
      9.18573      0.88479000     0.188980
      9.19811      0.87098002     0.190270
      9.21053      0.86273998     0.192250
      9.22297      0.85281003     0.192670
      9.23545      0.84152001     0.196580
      9.24797      0.83649999     0.199410
      9.26052      0.82516003     0.195910
      9.27310      0.81212002     0.200910
      9.28571      0.80434000     0.200670
      9.29836      0.78675002     0.200630
      9.31105      0.77389997     0.209460
      9.32377      0.76415002     0.210630
      9.33653      0.74778003     0.214600
      9.34932      0.73565000     0.219400
      9.36214      0.71908998     0.222450
