Pyroxene Minerals (crystalline) (Jäger et al. 1998) :Enstatite (normal to c-axis), s1from: http://www.astro.uni-jena.de/Laboratory/Database/data/silicate/ens_s1.lnk808 linesmicrons    n               k

Wavelength [microns]  Re(m)       Im(m)
      2.00000       1.5784700    0.0135850
      2.50000       1.5696300    0.0153300
      3.00000       1.5552500    0.0166100
      3.50000       1.5492200    0.0174900
      4.00000       1.5410200    0.0182330
      4.50000       1.5231200    0.0188630
      5.00000       1.5045300    0.0209100
      5.50000       1.4803600    0.0242680
      6.00000       1.4488699    0.0289560
      6.20000       1.4338400    0.0307710
      6.40000       1.4236900    0.0315270
      6.60000       1.4049700    0.0328130
      6.80000       1.3834900    0.0340210
      7.00000       1.3602500    0.0350100
      7.10000       1.3431600    0.0359760
      7.20000       1.3319401    0.0364410
      7.30000       1.3103700    0.0373760
      7.40000       1.2964100    0.0385040
      7.50000       1.2754800    0.0405300
      7.60000       1.2529401    0.0425180
      7.70000       1.2301500    0.0450750
      7.80000       1.2124900    0.0474100
      7.90000       1.1815400    0.0488700
      8.00117       1.1521900    0.0501220
      8.01056       1.1404001    0.0512700
      8.01998       1.1353400    0.0514840
      8.02941       1.1325400    0.0609280
      8.03887       1.1342700    0.0494510
      8.04835       1.1197300    0.0606490
      8.05785       1.1344500    0.0527510
      8.06738       1.1074400    0.0489370
      8.07692       1.1136100    0.0650340
      8.08649       1.1062100    0.0536440
      8.09609       1.1008101    0.0690260
      8.10570       1.1088400    0.0595510
      8.11534       1.0901901    0.0610810
      8.12500       1.0980600    0.0724590
      8.13468       1.0905200    0.0590350
      8.14439       1.0843600    0.0752380
      8.15412       1.0935400    0.0631420
      8.16388       1.0778000    0.0648200
      8.17365       1.0780100    0.0649800
      8.18345       1.0712800    0.0695390
      8.19328       1.0726500    0.0622720
      8.20313       1.0626400    0.0683210
      8.21300       1.0650700    0.0502830
      8.22289       1.0290000    0.0581690
      8.23281       1.0463099    0.0883870
      8.24275       1.0403200    0.0615810
      8.25272       1.0253201    0.0768180
      8.26271       1.0264900    0.0847390
      8.27273       1.0500100    0.0857290
      8.28277       1.0273499    0.0492460
      8.29283      0.99313301    0.0674280
      8.30292       1.0080400    0.0892390
      8.31303       1.0072900    0.0772630
      8.32317      0.99732101    0.0768400
      8.33333      0.99589002    0.0821480
      8.34352      0.99256998    0.0685710
      8.35373      0.96960700    0.0693700
      8.36397      0.96381998    0.0806490
      8.37423      0.95664197    0.0857980
      8.38452      0.96129900    0.0902790
      8.39483      0.95619202    0.0796440
      8.40517      0.94062400    0.0756110
      8.41554      0.92382801    0.0828640
      8.42593      0.91832000    0.0929930
      8.43634      0.91869998     0.100419
      8.44678      0.91981000    0.0902320
      8.45725      0.90099001    0.0898100
      8.46774      0.90051001    0.0926100
      8.47826      0.88664103    0.0864710
      8.48881      0.87669098    0.0854110
      8.49938      0.85306001    0.0876030
      8.50998      0.85208499     0.101267
      8.52060      0.84198898    0.0937100
      8.53125      0.83137000    0.0957000
      8.54193      0.81118798    0.0937920
      8.55263      0.80361098     0.104238
      8.56336      0.78717297    0.0979310
      8.57412      0.77370000     0.108930
      8.58491      0.75942397     0.105594
      8.59572      0.74524701     0.114429
      8.60656      0.72996598     0.111132
      8.61742      0.71312600     0.118257
      8.62832      0.69445699     0.115701
      8.63924      0.67327100     0.123750
      8.65019      0.65266001     0.126570
      8.66117      0.63417399     0.132960
      8.67217      0.60539800     0.132630
      8.68321      0.58061999     0.145521
      8.69427      0.54884499     0.149154
      8.70536      0.52124202     0.167721
      8.71647      0.48693401     0.173757
      8.72762      0.45221299     0.198188
      8.73880      0.41299701     0.214203
      8.75000      0.37552899     0.251761
      8.76123      0.33870700     0.282584
      8.77249      0.30862901     0.334294
      8.78378      0.28383800     0.375826
      8.79510      0.26826400     0.432735
      8.80645      0.25584200     0.473734
      8.81783      0.24987000     0.528191
      8.82924      0.24360999     0.565464
      8.84067      0.24264000     0.617753
      8.85214      0.24015000     0.651579
      8.86364      0.24108000     0.702609
      8.87516      0.24171001     0.735471
      8.88672      0.24502000     0.784835
      8.89830      0.24669901     0.817147
      8.90992      0.25237900     0.866694
      8.92157      0.25543100     0.898187
      8.93325      0.26293099     0.948491
      8.94495      0.26719901     0.979569
      8.95669      0.27569801      1.03202
      8.96846      0.28305799      1.06449
      8.98026      0.29406700      1.11721
      8.99210      0.30229500      1.15039
      9.00396      0.31409201      1.20612
      9.01585      0.32608801      1.24472
      9.02778      0.34608200      1.30007
      9.03974      0.35618901      1.33731
      9.05172      0.37971300      1.40027
      9.06374      0.39491400      1.43879
      9.07580      0.42271501      1.50762
      9.08788      0.44531500      1.55002
      9.10000      0.48157001      1.62263
      9.11215      0.51100200      1.66772
      9.12433      0.55742401      1.74698
      9.13655      0.59994000      1.79675
      9.14879      0.66439098      1.87872
      9.16107      0.72191101      1.92899
      9.17339      0.81134802      2.01313
      9.18573      0.89456397      2.05720
      9.19811       1.0187300      2.12732
      9.21053       1.1281400      2.14447
      9.22297       1.2795800      2.17882
      9.23545       1.4047700      2.14857
      9.24797       1.5506901      2.11408
      9.26052       1.6312900      2.04385
      9.27310       1.7366600      1.98623
      9.28571       1.7704600      1.91792
      9.29836       1.8470700      1.88405
      9.31105       1.8802201      1.84253
      9.32377       1.9717300      1.82673
      9.33653       2.0437300      1.78701
      9.34932       2.1702800      1.72922
      9.36214       2.2498500      1.63283
      9.37500       2.3497100      1.50234
