Optical constants for amorphous carbon - ACAR sample.  Data from Zubko V. et al 1996, MNRAS, 282, 1321-1329,  Range 0.05 - 1984 mic, 1245 entries. [ZI, Aug 96

Wavelength [microns]  Re(m)       Im(m)
    0.0400800      0.90920001    0.0791800
    0.0404300      0.90259999    0.0840200
    0.0407800      0.89819998    0.0888300
    0.0411400      0.89459997    0.0935700
    0.0414900      0.89150000    0.0982400
    0.0418600      0.88880002     0.102900
    0.0422200      0.88650000     0.107400
    0.0425900      0.88429999     0.111900
    0.0429600      0.88239998     0.116400
    0.0433400      0.88069999     0.120800
    0.0437200      0.87910002     0.125200
    0.0441000      0.87760001     0.129500
    0.0444800      0.87620002     0.133800
    0.0448700      0.87489998     0.138100
    0.0452600      0.87370002     0.142400
    0.0456600      0.87260002     0.146700
    0.0460500      0.87159997     0.150900
    0.0464600      0.87059999     0.155200
    0.0468600      0.86970001     0.159400
    0.0472700      0.86879998     0.163700
    0.0476800      0.86799997     0.167900
    0.0481000      0.86720002     0.172200
    0.0485200      0.86640000     0.176500
    0.0489400      0.86570001     0.180800
    0.0493700      0.86510003     0.185100
    0.0498000      0.86440003     0.189400
    0.0502400      0.86379999     0.193800
    0.0506700      0.86320001     0.198200
    0.0511200      0.86269999     0.202700
    0.0515600      0.86220002     0.207200
    0.0520100      0.86180001     0.211700
    0.0524700      0.86129999     0.216300
    0.0529200      0.86100000     0.220900
    0.0533900      0.86059999     0.225600
    0.0538500      0.86030000     0.230300
    0.0543200      0.86009997     0.235100
    0.0548000      0.85979998     0.239900
    0.0552700      0.85970002     0.244800
    0.0557600      0.85960001     0.249800
    0.0562400      0.85949999     0.254800
    0.0567300      0.85949999     0.259800
    0.0572300      0.85949999     0.265000
    0.0577300      0.85960001     0.270200
    0.0582300      0.85970002     0.275500
    0.0587400      0.86000001     0.280800
    0.0592500      0.86019999     0.286300
    0.0597700      0.86059999     0.291800
    0.0602900      0.86110002     0.297400
    0.0608200      0.86159998     0.303100
    0.0613500      0.86229998     0.308900
    0.0618900      0.86299998     0.314700
    0.0624300      0.86390001     0.320600
    0.0629700      0.86489999     0.326600
    0.0635200      0.86600000     0.332600
    0.0640700      0.86729997     0.338600
    0.0646300      0.86860001     0.344800
    0.0652000      0.87010002     0.350900
    0.0657700      0.87180001     0.357100
    0.0663400      0.87360001     0.363300
    0.0669200      0.87550002     0.369500
    0.0675000      0.87750000     0.375800
    0.0680900      0.87970001     0.382100
    0.0686900      0.88200003     0.388400
    0.0692900      0.88440001     0.394700
    0.0698900      0.88700002     0.401000
    0.0705000      0.88970000     0.407300
    0.0711200      0.89249998     0.413500
    0.0717400      0.89550000     0.419800
    0.0723600      0.89850003     0.426100
    0.0729900      0.90170002     0.432400
    0.0736300      0.90499997     0.438700
    0.0742700      0.90850002     0.445000
    0.0749200      0.91200000     0.451300
    0.0755800      0.91570002     0.457600
    0.0762400      0.91949999     0.463900
    0.0769000      0.92339998     0.470200
    0.0775700      0.92750001     0.476500
    0.0782500      0.93169999     0.482800
    0.0789300      0.93610001     0.489200
    0.0796200      0.94069999     0.495600
    0.0803200      0.94540000     0.502000
    0.0810200      0.95029998     0.508400
    0.0817200      0.95550001     0.514900
    0.0824400      0.96090001     0.521300
    0.0831600      0.96649998     0.527700
    0.0838800      0.97240001     0.534000
    0.0846200      0.97860003     0.540200
    0.0853500      0.98500001     0.546300
    0.0861000      0.99169999     0.552300
    0.0868500      0.99860001     0.558200
    0.0876100       1.0060000     0.563900
    0.0883700       1.0130000     0.569300
    0.0891400       1.0210000     0.574600
    0.0899200       1.0290000     0.579600
    0.0907100       1.0369999     0.584300
    0.0915000       1.0450000     0.588800
    0.0923000       1.0540000     0.592900
    0.0931000       1.0620000     0.596800
    0.0939200       1.0710000     0.600500
    0.0947300       1.0790000     0.603800
    0.0955600       1.0880001     0.606900
    0.0964000       1.0970000     0.609600
    0.0972400       1.1059999     0.612200
    0.0980900       1.1140000     0.614400
    0.0989400       1.1230000     0.616400
    0.0998100       1.1320000     0.618100
     0.100700       1.1410000     0.619600
     0.101600       1.1500000     0.620800
     0.102400       1.1590000     0.621800
     0.103300       1.1670001     0.622500
     0.104200       1.1760000     0.622900
     0.105100       1.1849999     0.623100
     0.106100       1.1940000     0.623000
     0.107000       1.2020000     0.622700
     0.107900       1.2110000     0.622100
     0.108900       1.2190000     0.621200
     0.109800       1.2280000     0.620100
     0.110800       1.2359999     0.618800
     0.111700       1.2440000     0.617200
     0.112700       1.2520000     0.615300
     0.113700       1.2600000     0.613200
     0.114700       1.2680000     0.610800
     0.115700       1.2750000     0.608200
     0.116700       1.2830000     0.605400
     0.117700       1.2900000     0.602300
     0.118700       1.2970001     0.599000
     0.119800       1.3040000     0.595500
     0.120800       1.3099999     0.591800
     0.121900       1.3170000     0.587900
     0.122900       1.3230000     0.583800
     0.124000       1.3290000     0.579500
     0.125100       1.3340000     0.575100
     0.126200       1.3390000     0.570700
     0.127300       1.3440000     0.566100
     0.128400       1.3490000     0.561500
     0.129500       1.3530000     0.556900
     0.130700       1.3570000     0.552300
     0.131800       1.3609999     0.547700
     0.133000       1.3650000     0.543100
     0.134100       1.3680000     0.538400
     0.135300       1.3720000     0.533500
     0.136500       1.3750000     0.528400
     0.137700       1.3789999     0.523100
     0.138900       1.3820000     0.517400
     0.140100       1.3839999     0.511300
     0.141300       1.3870000     0.504800
     0.142500       1.3880000     0.498000
