 ICOMP=17: Draine 2003 astrosilicate                 0.1000 = grain radius (micron)   20.00 = grain temperature (K)     837 = number of wavelengths  wave(um)      eps_1-1    eps_2      Re(n)-1     Im(n)

Wavelength [microns]  Re(m)       Im(m)
  6.19920e-05       1.0000000      0.00000
  6.52547e-05      0.99999785  2.17300e-08
  6.88800e-05      0.99999762  2.67600e-08
  7.29318e-05      0.99999732  3.33200e-08
  7.74900e-05      0.99999696  4.20200e-08
  8.26560e-05      0.99999654  5.37500e-08
  8.85600e-05      0.99999601  6.98500e-08
  9.53723e-05      0.99999541  9.25000e-08
  0.000103320      0.99999458  1.25100e-07
  0.000112713      0.99999356  1.73400e-07
  0.000123984      0.99999219  2.47500e-07
  0.000130510      0.99999142  2.99500e-07
  0.000137760      0.99999040  3.65800e-07
  0.000140891      0.99998999  3.97500e-07
  0.000144167      0.99998951  4.32600e-07
  0.000147600      0.99998903  4.71700e-07
  0.000151200      0.99998856  5.15500e-07
  0.000154980      0.99998796  5.64000e-07
  0.000156942      0.99998772  5.91000e-07
  0.000158954      0.99998742  6.19000e-07
  0.000161018      0.99998713  6.49000e-07
  0.000163137      0.99998677  6.80500e-07
  0.000165312      0.99998647  7.14000e-07
  0.000167546      0.99998617  7.50000e-07
  0.000169841      0.99998581  7.88000e-07
  0.000171723      0.99998564  9.03500e-07
  0.000171961      0.99998564  8.88500e-07
  0.000172200      0.99998564  8.84000e-07
  0.000172320      0.99998564  8.82000e-07
  0.000172439      0.99998564  8.83000e-07
  0.000172560      0.99998558  9.04500e-07
  0.000172680      0.99998558  9.25500e-07
  0.000172800      0.99998558  9.53500e-07
  0.000172920      0.99998564  9.68000e-07
  0.000173041      0.99998569  9.55500e-07
  0.000173162      0.99998569  9.23000e-07
  0.000173283      0.99998569  8.70500e-07
  0.000173404      0.99998564  8.31000e-07
  0.000173526      0.99998564  8.33500e-07
  0.000173647      0.99998558  8.80500e-07
  0.000173769      0.99998558  9.11500e-07
  0.000173891      0.99998558  9.50510e-07
  0.000173915      0.99998564  9.71000e-07
  0.000173939      0.99998569  1.01200e-06
  0.000173964      0.99998575  1.06000e-06
  0.000173988      0.99998581  1.11400e-06
  0.000174013      0.99998587  1.17500e-06
  0.000174037      0.99998587  1.22300e-06
  0.000174061      0.99998593  1.24300e-06
  0.000174086      0.99998599  1.19600e-06
  0.000174110      0.99998605  1.12200e-06
  0.000174135      0.99998611  1.04100e-06
  0.000174159      0.99998611  9.59500e-07
  0.000174184      0.99998617  8.71500e-07
  0.000174208      0.99998617  7.84000e-07
  0.000174233      0.99998623  6.48500e-07
  0.000174257      0.99998623  5.13000e-07
  0.000174282      0.99998617  3.77600e-07
  0.000174306      0.99998617  3.10000e-07
  0.000174331      0.99998611  2.83000e-07
  0.000174355      0.99998611  2.76300e-07
  0.000174380      0.99998605  2.76500e-07
  0.000174404      0.99998599  2.76600e-07
  0.000174429      0.99998593  2.70000e-07
  0.000174453      0.99998587  2.56500e-07
  0.000174478      0.99998581  2.49900e-07
  0.000174502      0.99998581  2.43200e-07
  0.000174625      0.99998569  2.43900e-07
  0.000177120      0.99998480  2.57600e-07
  0.000190745      0.99998200  3.42900e-07
  0.000206640      0.99997866  4.66600e-07
  0.000225425      0.99997449  6.51500e-07
  0.000247968      0.99996907  9.38000e-07
  0.000275520      0.99996156  1.40100e-06
  0.000309960      0.99995118  2.18800e-06
  0.000354240      0.99993604  3.61500e-06
  0.000413280      0.99991292  6.42100e-06
  0.000442800      0.99989998  8.28100e-06
  0.000476861      0.99988413  1.08800e-05
  0.000516600      0.99986428  1.45600e-05
  0.000563564      0.99983931  1.99500e-05
  0.000619920      0.99980801  2.80700e-05
  0.000652547      0.99978989  3.36700e-05
  0.000659489      0.99978548  3.49500e-05
  0.000661248      0.99978417  3.62500e-05
  0.000661601      0.99978411  3.63000e-05
  0.000661954      0.99978387  3.63600e-05
  0.000662308      0.99978340  3.64100e-05
  0.000662662      0.99978298  3.64700e-05
  0.000663016      0.99978238  3.70500e-05
  0.000663371      0.99978191  3.76400e-05
  0.000663726      0.99978149  3.84000e-05
  0.000664081      0.99978143  3.95100e-05
  0.000664437      0.99978203  4.09700e-05
  0.000664794      0.99978298  4.20900e-05
  0.000664936      0.99978340  4.22900e-05
  0.000665150      0.99978387  4.18000e-05
  0.000665507      0.99978483  4.10700e-05
  0.000665865      0.99978560  4.10400e-05
  0.000666222      0.99978590  4.11000e-05
  0.000666581      0.99978560  3.92200e-05
  0.000666939      0.99978518  3.80400e-05
  0.000667298      0.99978369  3.84500e-05
  0.000667658      0.99978250  3.90400e-05
  0.000668017      0.99978203  4.08700e-05
  0.000668377      0.99978250  4.23400e-05
  0.000668738      0.99978417  4.41700e-05
  0.000669099      0.99978548  4.40600e-05
  0.000669460      0.99978632  4.18200e-05
  0.000669822      0.99978608  4.04600e-05
  0.000670184      0.99978489  4.07000e-05
  0.000670329      0.99978399  4.09000e-05
  0.000670474      0.99978280  4.12800e-05
  0.000670619      0.99978149  4.14800e-05
  0.000670764      0.99978048  4.16900e-05
  0.000670909      0.99978012  4.27800e-05
  0.000671054      0.99978030  4.49300e-05
  0.000671200      0.99978220  4.81600e-05
  0.000671345      0.99978620  5.31600e-05
  0.000671491      0.99979037  5.71110e-05
  0.000671636      0.99979311  6.10090e-05
  0.000671781      0.99979538  6.31600e-05
  0.000671927      0.99979788  5.96600e-05
  0.000672073      0.99980068  4.97300e-05
  0.000672219      0.99980313  4.12200e-05
  0.000672364      0.99980527  3.76900e-05
  0.000672729      0.99980348  3.23300e-05
  0.000673094      0.99979782  3.05200e-05
  0.000673460      0.99979460  3.02200e-05
  0.000673826      0.99979240  2.95600e-05
  0.000674193      0.99979103  2.94400e-05
  0.000674559      0.99978989  2.94900e-05
  0.000674927      0.99978900  2.93700e-05
