

Wavelength [microns]  Re(m)       Im(m)
      5.00000       1.4186989  0.000932087
      5.00320       1.4184757  0.000935068
      5.00640       1.4182522  0.000938058
      5.00960       1.4180282  0.000941059
      5.01280       1.4178038  0.000944070
      5.01600       1.4175789  0.000947092
      5.01920       1.4173539  0.000950123
      5.02240       1.4171284  0.000953164
      5.02560       1.4169025  0.000956216
      5.02880       1.4166763  0.000959278
      5.03200       1.4164495  0.000962352
      5.03520       1.4162226  0.000965434
      5.03840       1.4159950  0.000968528
      5.04160       1.4157673  0.000971632
      5.04480       1.4155390  0.000974747
      5.04800       1.4153104  0.000977872
      5.05121       1.4150814  0.000981008
      5.05441       1.4148520  0.000984155
      5.05761       1.4146222  0.000987312
      5.06081       1.4143920  0.000990480
      5.06401       1.4141614  0.000993659
      5.06721       1.4139305  0.000996848
      5.07041       1.4136992   0.00100005
      5.07361       1.4134674   0.00100326
      5.07681       1.4132352   0.00100648
      5.08001       1.4130026   0.00100972
      5.08321       1.4127697   0.00101296
      5.08641       1.4125363   0.00101622
      5.08961       1.4123024   0.00101948
      5.09281       1.4120684   0.00102276
      5.09601       1.4118338   0.00102605
      5.09921       1.4115988   0.00102935
      5.10241       1.4113634   0.00103266
      5.10561       1.4111276   0.00103599
      5.10881       1.4108914   0.00103932
      5.11201       1.4106548   0.00104267
      5.11521       1.4104178   0.00104603
      5.11841       1.4101803   0.00104940
      5.12161       1.4099425   0.00105278
      5.12481       1.4097042   0.00105617
      5.12801       1.4094656   0.00105958
      5.13121       1.4092264   0.00106299
      5.13441       1.4089869   0.00106642
      5.13761       1.4087470   0.00106986
      5.14081       1.4085066   0.00107331
      5.14401       1.4082659   0.00107678
      5.14721       1.4080247   0.00108025
      5.15041       1.4077832   0.00108374
      5.15362       1.4075410   0.00108724
      5.15682       1.4072987   0.00109075
      5.16002       1.4070557   0.00109428
      5.16322       1.4068124   0.00109782
      5.16642       1.4065686   0.00110137
      5.16962       1.4063246   0.00110493
      5.17282       1.4060799   0.00110850
      5.17602       1.4058349   0.00111209
      5.17922       1.4055895   0.00111569
      5.18242       1.4053435   0.00111930
      5.18562       1.4050974   0.00112292
      5.18882       1.4048505   0.00112656
      5.19202       1.4046035   0.00113021
      5.19522       1.4043558   0.00113387
      5.19842       1.4041077   0.00113755
      5.20162       1.4038593   0.00114124
      5.20482       1.4036102   0.00114494
      5.20802       1.4033610   0.00114865
      5.21122       1.4031111   0.00115238
      5.21442       1.4028609   0.00115612
      5.21762       1.4026102   0.00115987
      5.22082       1.4023590   0.00116364
      5.22402       1.4021074   0.00116742
      5.22722       1.4018553   0.00117121
      5.23042       1.4016030   0.00117502
      5.23362       1.4013500   0.00117884
      5.23682       1.4010967   0.00118268
      5.24002       1.4008428   0.00118652
      5.24322       1.4005885   0.00119038
      5.24642       1.4003338   0.00119426
      5.24963       1.4000785   0.00119815
      5.25283       1.3998230   0.00120205
      5.25603       1.3995668   0.00120597
      5.25923       1.3993102   0.00120990
      5.26243       1.3990532   0.00121384
      5.26563       1.3987957   0.00121780
      5.26883       1.3985378   0.00122177
      5.27203       1.3982793   0.00122576
      5.27523       1.3980205   0.00122976
      5.27843       1.3977611   0.00123378
      5.28163       1.3975013   0.00123781
      5.28483       1.3972410   0.00124185
      5.28803       1.3969803   0.00124591
      5.29123       1.3967191   0.00124998
      5.29443       1.3964574   0.00125407
      5.29763       1.3961952   0.00125817
      5.30083       1.3959327   0.00126229
      5.30403       1.3956695   0.00126642
      5.30723       1.3954059   0.00127057
      5.31043       1.3951418   0.00127473
      5.31363       1.3948773   0.00127891
      5.31683       1.3946123   0.00128310
      5.32003       1.3943468   0.00128730
      5.32323       1.3940809   0.00129153
      5.32643       1.3938143   0.00129576
      5.32963       1.3935474   0.00130002
      5.33283       1.3932800   0.00130428
      5.33603       1.3930120   0.00130857
      5.33923       1.3927437   0.00131287
      5.34243       1.3924748   0.00131718
      5.34563       1.3922054   0.00132151
      5.34883       1.3919355   0.00132586
      5.35204       1.3916651   0.00133022
      5.35524       1.3913943   0.00133460
      5.35844       1.3911229   0.00133899
      5.36164       1.3908510   0.00134340
      5.36484       1.3905787   0.00134783
      5.36804       1.3903058   0.00135227
      5.37124       1.3900324   0.00135673
      5.37444       1.3897586   0.00136120
      5.37764       1.3894843   0.00136569
      5.38084       1.3892093   0.00137020
      5.38404       1.3889340   0.00137472
      5.38724       1.3886580   0.00137926
      5.39044       1.3883816   0.00138382
      5.39364       1.3881047   0.00138839
      5.39684       1.3878274   0.00139298
      5.40004       1.3875494   0.00139759
      5.40324       1.3872709   0.00140221
      5.40644       1.3869920   0.00140686
      5.40964       1.3867124   0.00141151
      5.41284       1.3864325   0.00141619
      5.41604       1.3861520   0.00142088
      5.41924       1.3858709   0.00142559
      5.42244       1.3855894   0.00143032
      5.42564       1.3853073   0.00143507
      5.42884       1.3850247   0.00143983
      5.43204       1.3847415   0.00144461
      5.43524       1.3844578   0.00144941
      5.43844       1.3841736   0.00145422
      5.44164       1.3838890   0.00145906
      5.44484       1.3836037   0.00146391
      5.44804       1.3833179   0.00146878
      5.45125       1.3830315   0.00147367
      5.45445       1.3827447   0.00147858
      5.45765       1.3824573   0.00148350
      5.46085       1.3821694   0.00148844
      5.46405       1.3818808   0.00149340
      5.46725       1.3815918   0.00149838
      5.47045       1.3813022   0.00150338
      5.47365       1.3810121   0.00150840
      5.47685       1.3807214   0.00151344
      5.48005       1.3804302   0.00151849
      5.48325       1.3801385   0.00152357
      5.48645       1.3798461   0.00152866
      5.48965       1.3795532   0.00153377
      5.49285       1.3792598   0.00153891
      5.49605       1.3789659   0.00154406
      5.49925       1.3786713   0.00154923
      5.50245       1.3783762   0.00155442
      5.50565       1.3780806   0.00155963
      5.50885       1.3777843   0.00156486
      5.51205       1.3774875   0.00157011
      5.51525       1.3771902   0.00157537
      5.51845       1.3768922   0.00158066
      5.52165       1.3765937   0.00158597
      5.52485       1.3762946   0.00159130
      5.52805       1.3759952   0.00159665
      5.53125       1.3756949   0.00160202
      5.53445       1.3753941   0.00160741
      5.53765       1.3750927   0.00161282
      5.54085       1.3747909   0.00161825
      5.54405       1.3744884   0.00162371
      5.54725       1.3741852   0.00162918
      5.55046       1.3738816   0.00163468
      5.55366       1.3735772   0.00164019
      5.55686       1.3732724   0.00164573
      5.56006       1.3729669   0.00165129
      5.56326       1.3726610   0.00165686
      5.56646       1.3723544   0.00166246
      5.56966       1.3720472   0.00166809
      5.57286       1.3717394   0.00167373
      5.57606       1.3714311   0.00167939
      5.57926       1.3711219   0.00168508
      5.58246       1.3708124   0.00169079
      5.58566       1.3705022   0.00169652
      5.58886       1.3701913   0.00170228
      5.59206       1.3698800   0.00170805
      5.59526       1.3695680   0.00171385
      5.59846       1.3692554   0.00171967
      5.60166       1.3689421   0.00172551
      5.60486       1.3686284   0.00173138
      5.60806       1.3683138   0.00173727
      5.61126       1.3679987   0.00174318
      5.61446       1.3676831   0.00174911
      5.61766       1.3673668   0.00175507
      5.62086       1.3670499   0.00176105
      5.62406       1.3667324   0.00176706
      5.62726       1.3664142   0.00177308
      5.63046       1.3660953   0.00177913
      5.63366       1.3657759   0.00178521
      5.63686       1.3654559   0.00179131
      5.64006       1.3651352   0.00179743
      5.64326       1.3648139   0.00180358
      5.64646       1.3644919   0.00180975
      5.64966       1.3641694   0.00181594
      5.65287       1.3638461   0.00182216
      5.65607       1.3635223   0.00182841
      5.65927       1.3631977   0.00183468
      5.66247       1.3628727   0.00184097
      5.66567       1.3625468   0.00184729
      5.66887       1.3622204   0.00185363
      5.67207       1.3618933   0.00186000
      5.67527       1.3615656   0.00186639
      5.67847       1.3612372   0.00187281
      5.68167       1.3609080   0.00187926
      5.68487       1.3605785   0.00188572
      5.68807       1.3602481   0.00189222
      5.69127       1.3599172   0.00189874
