

Wavelength [microns]  Re(m)       Im(m)
      5.00000       1.4124961  0.000800997
      5.00320       1.4122771  0.000803536
      5.00640       1.4120580  0.000806082
      5.00960       1.4118383  0.000808638
      5.01280       1.4116184  0.000811202
      5.01600       1.4113979  0.000813775
      5.01920       1.4111773  0.000816356
      5.02240       1.4109561  0.000818945
      5.02560       1.4107347  0.000821544
      5.02880       1.4105128  0.000824151
      5.03200       1.4102906  0.000826767
      5.03520       1.4100680  0.000829391
      5.03840       1.4098450  0.000832025
      5.04160       1.4096217  0.000834667
      5.04480       1.4093980  0.000837318
      5.04800       1.4091738  0.000839978
      5.05121       1.4089494  0.000842646
      5.05441       1.4087244  0.000845324
      5.05761       1.4084991  0.000848011
      5.06081       1.4082735  0.000850708
      5.06401       1.4080474  0.000853412
      5.06721       1.4078209  0.000856126
      5.07041       1.4075941  0.000858850
      5.07361       1.4073669  0.000861582
      5.07681       1.4071393  0.000864324
      5.08001       1.4069113  0.000867075
      5.08321       1.4066828  0.000869835
      5.08641       1.4064541  0.000872604
      5.08961       1.4062248  0.000875384
      5.09281       1.4059954  0.000878171
      5.09601       1.4057653  0.000880970
      5.09921       1.4055350  0.000883776
      5.10241       1.4053042  0.000886594
      5.10561       1.4050729  0.000889420
      5.10881       1.4048414  0.000892256
      5.11201       1.4046094  0.000895102
      5.11521       1.4043771  0.000897957
      5.11841       1.4041443  0.000900822
      5.12161       1.4039111  0.000903697
      5.12481       1.4036775  0.000906582
      5.12801       1.4034436  0.000909476
      5.13121       1.4032091  0.000912381
      5.13441       1.4029744  0.000915295
      5.13761       1.4027390  0.000918219
      5.14081       1.4025034  0.000921154
      5.14401       1.4022675  0.000924097
      5.14721       1.4020309  0.000927052
      5.15041       1.4017942  0.000930016
      5.15362       1.4015567  0.000932991
      5.15682       1.4013193  0.000935975
      5.16002       1.4010811  0.000938971
      5.16322       1.4008424  0.000941976
      5.16642       1.4006037  0.000944992
      5.16962       1.4003643  0.000948018
      5.17282       1.4001244  0.000951055
      5.17602       1.3998842  0.000954102
      5.17922       1.3996437  0.000957159
      5.18242       1.3994025  0.000960228
      5.18562       1.3991611  0.000963306
      5.18882       1.3989191  0.000966396
      5.19202       1.3986769  0.000969495
      5.19522       1.3984340  0.000972606
      5.19842       1.3981909  0.000975728
      5.20162       1.3979473  0.000978860
      5.20482       1.3977033  0.000982003
      5.20802       1.3974588  0.000985157
      5.21122       1.3972138  0.000988322
      5.21442       1.3969686  0.000991498
      5.21762       1.3967228  0.000994685
      5.22082       1.3964766  0.000997883
      5.22402       1.3962300   0.00100109
      5.22722       1.3959829   0.00100431
      5.23042       1.3957354   0.00100754
      5.23362       1.3954874   0.00101079
      5.23682       1.3952390   0.00101404
      5.24002       1.3949901   0.00101731
      5.24322       1.3947408   0.00102058
      5.24642       1.3944911   0.00102387
      5.24963       1.3942410   0.00102717
      5.25283       1.3939903   0.00103049
      5.25603       1.3937392   0.00103381
      5.25923       1.3934877   0.00103714
      5.26243       1.3932358   0.00104049
      5.26563       1.3929834   0.00104385
      5.26883       1.3927305   0.00104722
      5.27203       1.3924772   0.00105060
      5.27523       1.3922235   0.00105399
      5.27843       1.3919692   0.00105740
      5.28163       1.3917145   0.00106082
      5.28483       1.3914593   0.00106425
      5.28803       1.3912038   0.00106769
      5.29123       1.3909477   0.00107115
      5.29443       1.3906912   0.00107461
      5.29763       1.3904341   0.00107809
      5.30083       1.3901768   0.00108158
      5.30403       1.3899188   0.00108509
      5.30723       1.3896604   0.00108860
      5.31043       1.3894016   0.00109213
      5.31363       1.3891423   0.00109567
      5.31683       1.3888824   0.00109923
      5.32003       1.3886222   0.00110279
      5.32323       1.3883615   0.00110637
      5.32643       1.3881003   0.00110996
      5.32963       1.3878386   0.00111357
      5.33283       1.3875765   0.00111718
      5.33603       1.3873137   0.00112081
      5.33923       1.3870506   0.00112446
      5.34243       1.3867871   0.00112811
      5.34563       1.3865230   0.00113178
      5.34883       1.3862585   0.00113547
      5.35204       1.3859935   0.00113916
      5.35524       1.3857279   0.00114287
      5.35844       1.3854619   0.00114659
      5.36164       1.3851954   0.00115033
      5.36484       1.3849285   0.00115408
      5.36804       1.3846610   0.00115784
      5.37124       1.3843930   0.00116162
      5.37444       1.3841245   0.00116541
      5.37764       1.3838557   0.00116921
      5.38084       1.3835862   0.00117303
      5.38404       1.3833162   0.00117686
      5.38724       1.3830458   0.00118070
      5.39044       1.3827748   0.00118456
      5.39364       1.3825034   0.00118844
      5.39684       1.3822315   0.00119232
      5.40004       1.3819591   0.00119622
      5.40324       1.3816861   0.00120014
      5.40644       1.3814127   0.00120407
      5.40964       1.3811388   0.00120801
      5.41284       1.3808643   0.00121197
      5.41604       1.3805894   0.00121594
      5.41924       1.3803139   0.00121993
      5.42244       1.3800379   0.00122393
      5.42564       1.3797613   0.00122795
      5.42884       1.3794844   0.00123198
      5.43204       1.3792069   0.00123603
      5.43524       1.3789288   0.00124009
      5.43844       1.3786502   0.00124416
      5.44164       1.3783711   0.00124825
      5.44484       1.3780916   0.00125236
      5.44804       1.3778114   0.00125648
      5.45125       1.3775308   0.00126061
      5.45445       1.3772496   0.00126476
      5.45765       1.3769678   0.00126893
      5.46085       1.3766856   0.00127311
      5.46405       1.3764030   0.00127731
      5.46725       1.3761197   0.00128152
      5.47045       1.3758358   0.00128575
      5.47365       1.3755515   0.00128999
      5.47685       1.3752666   0.00129425
      5.48005       1.3749810   0.00129853
      5.48325       1.3746952   0.00130282
      5.48645       1.3744086   0.00130712
      5.48965       1.3741215   0.00131145
      5.49285       1.3738340   0.00131578
      5.49605       1.3735459   0.00132014
      5.49925       1.3732573   0.00132451
      5.50245       1.3729680   0.00132890
      5.50565       1.3726783   0.00133330
      5.50885       1.3723879   0.00133772
      5.51205       1.3720970   0.00134216
      5.51525       1.3718055   0.00134661
      5.51845       1.3715135   0.00135108
      5.52165       1.3712211   0.00135557
      5.52485       1.3709278   0.00136007
      5.52805       1.3706343   0.00136459
      5.53125       1.3703401   0.00136913
      5.53445       1.3700453   0.00137369
      5.53765       1.3697499   0.00137826
      5.54085       1.3694540   0.00138285
      5.54405       1.3691576   0.00138745
      5.54725       1.3688605   0.00139208
      5.55046       1.3685629   0.00139672
      5.55366       1.3682647   0.00140138
      5.55686       1.3679661   0.00140605
      5.56006       1.3676665   0.00141075
      5.56326       1.3673668   0.00141546
      5.56646       1.3670663   0.00142019
      5.56966       1.3667653   0.00142494
      5.57286       1.3664634   0.00142970
      5.57606       1.3661613   0.00143448
      5.57926       1.3658584   0.00143929
      5.58246       1.3655550   0.00144411
      5.58566       1.3652511   0.00144895
      5.58886       1.3649465   0.00145380
      5.59206       1.3646413   0.00145868
      5.59526       1.3643355   0.00146357
      5.59846       1.3640293   0.00146848
      5.60166       1.3637222   0.00147342
      5.60486       1.3634148   0.00147837
      5.60806       1.3631065   0.00148334
      5.61126       1.3627977   0.00148833
      5.61446       1.3624884   0.00149333
      5.61766       1.3621784   0.00149836
      5.62086       1.3618680   0.00150341
      5.62406       1.3615566   0.00150847
      5.62726       1.3612450   0.00151356
      5.63046       1.3609326   0.00151867
      5.63366       1.3606195   0.00152379
      5.63686       1.3603059   0.00152894
      5.64006       1.3599917   0.00153410
      5.64326       1.3596770   0.00153928
      5.64646       1.3593614   0.00154449
      5.64966       1.3590453   0.00154971
      5.65287       1.3587285   0.00155496
      5.65607       1.3584112   0.00156023
      5.65927       1.3580933   0.00156551
      5.66247       1.3577747   0.00157082
      5.66567       1.3574554   0.00157615
      5.66887       1.3571357   0.00158150
      5.67207       1.3568151   0.00158686
      5.67527       1.3564939   0.00159226
      5.67847       1.3561722   0.00159767
      5.68167       1.3558496   0.00160310
      5.68487       1.3555267   0.00160855
      5.68807       1.3552029   0.00161403
      5.69127       1.3548787   0.00161953
      5.69447       1.3545536   0.00162505
      5.69767       1.3542279   0.00163059
      5.70087       1.3539017   0.00163615
      5.70407       1.3535748   0.00164173
      5.70727       1.3532470   0.00164734
      5.71047       1.3529189   0.00165297
      5.71367       1.3525900   0.00165862
      5.71687       1.3522604   0.00166429
      5.72007       1.3519301   0.00166999
      5.72327       1.3515992   0.00167570
      5.72647       1.3512676   0.00168145
      5.72967       1.3509353   0.00168721
      5.73287       1.3506024   0.00169300
      5.73607       1.3502688   0.00169881
      5.73927       1.3499346   0.00170464
      5.74247       1.3495996   0.00171049
      5.74567       1.3492639   0.00171638
      5.74887       1.3489277   0.00172228
      5.75208       1.3485907   0.00172821
      5.75528       1.3482530   0.00173416
      5.75848       1.3479147   0.00174013
      5.76168       1.3475757   0.00174613
      5.76488       1.3472359   0.00175215
      5.76808       1.3468955   0.00175820
      5.77128       1.3465543   0.00176427
      5.77448       1.3462125   0.00177037
      5.77768       1.3458700   0.00177649
      5.78088       1.3455267   0.00178263
      5.78408       1.3451828   0.00178880
      5.78728       1.3448383   0.00179500
      5.79048       1.3444929   0.00180122
      5.79368       1.3441468   0.00180746
      5.79688       1.3438001   0.00181373
      5.80008       1.3434526   0.00182003
      5.80328       1.3431044   0.00182635
      5.80648       1.3427554   0.00183270
      5.80968       1.3424058   0.00183908
